dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
Australia_Solar_H,long,010,backward,0,2.3949104649232207,149.71947473109307,-2.8075088743232186
Australia_Solar_H,long,010,backward,1,1.9840440723337178,131.41224518099762,-52.49366069970131
Australia_Solar_H,long,010,backward,2,2.15221388048636,134.83643612939997,-1.2314465736666875
Australia_Solar_H,long,010,backward,3,1.9516797504364827,127.85695410291011,-3.7291334017592845
Australia_Solar_H,long,010,backward,4,2.1586339403654002,159.93061311573538,6.756123051429142
Australia_Solar_H,long,010,backward,5,1.6833123684375761,148.91038901442136,8.779277134155421
Australia_Solar_H,long,010,backward,6,1.820297841305349,120.10246935476636,-18.780841824110666
Australia_Solar_H,long,010,backward,7,1.8327010732553488,119.26554208205286,-4.000072980966408
Australia_Solar_H,long,010,backward,8,1.8183926803349526,130.21838655679446,2.453696809617611
Australia_Solar_H,long,010,backward,9,1.8235770999943361,150.74528776289705,-10.684001307394226
Australia_Solar_H,long,010,backward,10,1.7933304387356956,200.0,27.079987938965246
Australia_Solar_H,long,010,backward,11,1.4949916116182616,169.91171988673355,-4.280697837468637
Australia_Solar_H,long,010,backward,12,1.6429731573993525,173.41020275131186,-4.6944332978115995
Australia_Solar_H,long,010,backward,13,1.7247782596644474,150.84941418851707,-0.0932917173240071
Australia_Solar_H,long,010,backward,14,1.698106720647563,151.54449615225818,-2.2504304644576507
Australia_Solar_H,long,010,backward,15,2.147934259605839,157.11083216809098,-3.2492146975030494
Australia_Solar_H,long,010,backward,16,1.998681535575115,144.35257426847866,-8.927990950178042
Australia_Solar_H,long,010,backward,17,1.7870315716497938,137.3940927848219,4.1309696953503305
Australia_Solar_H,long,010,backward,18,1.6835888020870928,135.10777748751462,-5.182966227495029
Australia_Solar_H,long,010,backward,19,1.634378412122775,121.43828556741565,-5.230371874462264
Australia_Solar_H,long,020,backward,0,1.8791973607339443,138.01911512127185,-14.507868484144439
Australia_Solar_H,long,020,backward,1,2.2186866456918337,120.74186048450142,-63.16404539619751
Australia_Solar_H,long,020,backward,2,1.9323872060926155,126.63508333379299,-9.432799369273667
Australia_Solar_H,long,020,backward,3,1.7549705217943772,129.2625970992145,-2.3234904054548906
Australia_Solar_H,long,020,backward,4,1.9528818757490802,149.6369481880774,-3.537541876228829
Australia_Solar_H,long,020,backward,5,1.8839262301395274,131.57159969548675,-8.55951218477918
Australia_Solar_H,long,020,backward,6,1.5926462514660524,137.29319138874754,-1.590119790129478
Australia_Solar_H,long,020,backward,7,1.680240718362289,130.6162260168463,7.3506109538270294
Australia_Solar_H,long,020,backward,8,2.3411676632906544,134.63653598680114,6.87184623962429
Australia_Solar_H,long,020,backward,9,1.8460359928842096,131.79776964300063,-29.63151942729064
Australia_Solar_H,long,020,backward,10,1.701484092032346,178.012532531389,5.092520470354259
Australia_Solar_H,long,020,backward,11,1.70335113276359,193.59222608771313,19.399808363510942
Australia_Solar_H,long,020,backward,12,1.8413743277731063,176.3806179332167,-1.7240181159067447
Australia_Solar_H,long,020,backward,13,2.3853025851437826,145.12831298799728,-5.814392917843804
Australia_Solar_H,long,020,backward,14,1.4870294244387832,157.0331971728005,3.2382705560846716
Australia_Solar_H,long,020,backward,15,1.9104542615203555,164.030765255322,3.6707183897279663
