dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean,prediction_mode,y_value
Coastal_T_S_15T,long,010,backward,0,1.5882424530270176,0.24577194029456448,0.003775953889250644,backward,0.003775953889250644
Coastal_T_S_15T,long,010,backward,1,1.6438907498643254,0.18651430548419698,-0.1287167283001586,backward,-0.1287167283001586
Coastal_T_S_15T,long,010,backward,2,1.3931629464007769,0.20830925033942174,-0.008608018016685787,backward,-0.008608018016685787
Coastal_T_S_15T,long,010,backward,3,1.4325026667550285,0.1205861119281428,0.0048752289125749415,backward,0.0048752289125749415
Coastal_T_S_15T,long,010,backward,4,1.5727291653052404,0.1615954071331752,-0.0038235911709678383,backward,-0.0038235911709678383
Coastal_T_S_15T,long,010,backward,5,1.4168702424578226,0.1286635168271432,-0.04588682404372857,backward,-0.04588682404372857
Coastal_T_S_15T,long,010,backward,6,1.7429940375136512,0.17536286051622835,-0.02216763319671347,backward,-0.02216763319671347
Coastal_T_S_15T,long,010,backward,7,1.580918134259931,0.2694065921030097,-0.0058145611669337405,backward,-0.0058145611669337405
Coastal_T_S_15T,long,010,backward,8,1.9033818197517494,0.19671197946790958,0.001393143361552579,backward,0.001393143361552579
Coastal_T_S_15T,long,010,backward,9,1.7101716853496807,0.21852901937885155,-0.022428308735287117,backward,-0.022428308735287117
Coastal_T_S_15T,long,010,backward,10,1.8716204675498704,0.1570165754314984,0.0002540237995689032,backward,0.0002540237995689032
Coastal_T_S_15T,long,010,backward,11,1.641215253246767,0.14015342689880997,-0.017622030471270672,backward,-0.017622030471270672
Coastal_T_S_15T,long,010,backward,12,1.6108189382447407,0.1347260119068198,0.05280504619491755,backward,0.05280504619491755
Coastal_T_S_15T,long,010,backward,13,2.0357260565291653,0.32851233267591007,-0.019064700962276526,backward,-0.019064700962276526
Coastal_T_S_15T,long,010,backward,14,2.1528657597046825,0.24102893086176616,-0.005952327583367334,backward,-0.005952327583367334
Coastal_T_S_15T,long,010,backward,15,1.9265139274120857,0.08591588898359633,-0.005554689369480656,backward,-0.005554689369480656
Coastal_T_S_15T,long,010,backward,16,1.7402732745932485,0.17017201428350645,-0.010778954801220236,backward,-0.010778954801220236
Coastal_T_S_15T,long,010,backward,17,1.7455370213624015,0.15434449546258838,0.0001698846780305574,backward,0.0001698846780305574
Coastal_T_S_15T,long,010,backward,18,1.5413210254287335,0.2294711818853052,0.0027163145360806495,backward,0.0027163145360806495
Coastal_T_S_15T,long,010,backward,19,2.180453663684379,0.3260900744159972,-0.0003078682844987468,backward,-0.0003078682844987468
Coastal_T_S_15T,long,020,backward,0,1.3835392452368032,0.27831803708290453,0.0363220506775907,backward,0.0363220506775907
Coastal_T_S_15T,long,020,backward,1,1.7232712743803238,0.3239196058501633,0.008688572065807698,backward,0.008688572065807698
Coastal_T_S_15T,long,020,backward,2,1.2318133070551962,0.1895880278892759,-0.027329240466831634,backward,-0.027329240466831634
Coastal_T_S_15T,long,020,backward,3,1.1721633348679417,0.10489062282442092,-0.01082026019114693,backward,-0.01082026019114693
Coastal_T_S_15T,long,020,backward,4,1.3639789260368234,0.23044433503740303,0.06502533673326,backward,0.06502533673326
Coastal_T_S_15T,long,020,backward,5,1.9807498891456263,0.11714343370063003,-0.05740690717024173,backward,-0.05740690717024173
Coastal_T_S_15T,long,020,backward,6,1.6230319700465938,0.134419531530993,-0.06311096218194881,backward,-0.06311096218194881
Coastal_T_S_15T,long,020,backward,7,1.9271508870297605,0.26234254138701735,-0.012878611882926105,backward,-0.012878611882926105
Coastal_T_S_15T,long,020,backward,8,2.178241328967019,0.19576311156158918,0.00044427545523217926,backward,0.00044427545523217926
Coastal_T_S_15T,long,020,backward,9,1.9646598938221196,0.235655447599287,-0.00530188051485167,backward,-0.00530188051485167
Coastal_T_S_15T,long,020,backward,10,1.7045205721678252,0.15706656779201184,0.00030401616008232657,backward,0.00030401616008232657
Coastal_T_S_15T,long,020,backward,11,1.5870646500495844,0.1372866152823236,-0.02048884208775703,backward,-0.02048884208775703
Coastal_T_S_15T,long,020,backward,12,1.7856186720155904,0.10028390719509434,0.01836294148319209,backward,0.01836294148319209
Coastal_T_S_15T,long,020,backward,13,2.010333696181412,0.3258652683394598,-0.021711765298726815,backward,-0.021711765298726815
Coastal_T_S_15T,long,020,backward,14,1.671015576918817,0.2464562287424893,-0.000525029702644203,backward,-0.000525029702644203
Coastal_T_S_15T,long,020,backward,15,1.7979116431160262,0.08337507045924289,-0.008095507893834092,backward,-0.008095507893834092
Coastal_T_S_15T,long,020,backward,16,1.7130463162579275,0.16737216831077592,-0.013578800773950767,backward,-0.013578800773950767
Coastal_T_S_15T,long,020,backward,17,1.7162928678068259,0.15401982070657122,-0.00015479007798660516,backward,-0.00015479007798660516
Coastal_T_S_15T,long,020,backward,18,1.7355076134917566,0.2355143273768316,0.008759460027607052,backward,0.008759460027607052
Coastal_T_S_15T,long,020,backward,19,1.9362233674402605,0.322085650685764,-0.004312292014731933,backward,-0.004312292014731933
Coastal_T_S_15T,long,030,backward,0,1.5125678893816363,0.28321956672748716,0.041223580322173325,backward,0.041223580322173325
Coastal_T_S_15T,long,030,backward,1,1.8444587340724115,0.21692869946350934,-0.09830233432084623,backward,-0.09830233432084623
Coastal_T_S_15T,long,030,backward,2,0.9650228254789132,0.23703515216500082,0.02011788380889329,backward,0.02011788380889329
Coastal_T_S_15T,long,030,backward,3,1.431351045875897,0.10712597179706185,-0.008584911218506006,backward,-0.008584911218506006
Coastal_T_S_15T,long,030,backward,4,1.477403335963614,0.19070810796958185,0.02528910966543882,backward,0.02528910966543882
Coastal_T_S_15T,long,030,backward,5,1.894652045907342,0.0978665043226916,-0.07668383654818016,backward,-0.07668383654818016
Coastal_T_S_15T,long,030,backward,6,1.6696955646721139,0.14195829083398678,-0.055572202878955035,backward,-0.055572202878955035
Coastal_T_S_15T,long,030,backward,7,1.9469024953108338,0.2949489026451227,0.019727749375179238,backward,0.019727749375179238
Coastal_T_S_15T,long,030,backward,8,2.1812164309451765,0.19354878347693882,-0.0017700526294181784,backward,-0.0017700526294181784
Coastal_T_S_15T,long,030,backward,9,1.7299817131072697,0.23415787825391368,-0.0067994498602249875,backward,-0.0067994498602249875
Coastal_T_S_15T,long,030,backward,10,1.408845479655239,0.15729561841836454,0.0005330667864350269,backward,0.0005330667864350269
Coastal_T_S_15T,long,030,backward,11,1.377214961196075,0.1478919633917174,-0.009883493978363245,backward,-0.009883493978363245
Coastal_T_S_15T,long,030,backward,12,1.553841878908777,0.09689713591423323,0.014976170202330982,backward,0.014976170202330982
