metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_010\ETTm1_BM_010_medium_backward.csv
clean_data,data\datasets\ori\ETTm1.csv
freq,T
term,medium
prediction_length,480
windows,20
MSE[mean],7.9568310546875
MSE[0.5],7.9568310546875
MAE[0.5],1.994154052734375
MASE[0.5],0.5353478111307048
MAPE[0.5],0.3337062601132686
sMAPE[0.5],0.23170506795247395
MSIS,3.982916095293208
RMSE[mean],2.8207855385845093
NRMSE[mean],0.3077432324944805
ND[0.5],0.21755904725333997
mean_weighted_sum_quantile_loss,0.1791108952674804
