metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_010\electricity_BM_010_short_backward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],33439.1375
MSE[0.5],33439.1375
MAE[0.5],122.29072265625
MASE[0.5],0.425978226329493
MAPE[0.5],0.03919597069422404
sMAPE[0.5],0.03975363572438558
MSIS,2.751068217643432
RMSE[mean],182.86371291210293
NRMSE[mean],0.060481325598354126
ND[0.5],0.04044708978530836
mean_weighted_sum_quantile_loss,0.03121143007072732
