metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_030\exchange_rate_BM_030_short_backward.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,short
prediction_length,30
windows,20
MSE[mean],0.00023979331056276957
MSE[0.5],0.00023979331056276957
MAE[0.5],0.012273669242858887
MASE[0.5],3.8664871926403324
MAPE[0.5],0.01800795555114746
sMAPE[0.5],0.01795912583669027
MSIS,74.70759772612539
RMSE[mean],0.015485261075060038
NRMSE[mean],0.022552059360075205
ND[0.5],0.017874836981384878
mean_weighted_sum_quantile_loss,0.0158949308441154
