metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_020\ETTm1_BM_020_long_forward.csv
clean_data,data\datasets\ori\ETTm1.csv
freq,T
term,long
prediction_length,720
windows,20
MSE[mean],8.845450303819444
MSE[0.5],8.845450303819444
MAE[0.5],2.2423665364583334
MASE[0.5],0.5971977057986141
MAPE[0.5],0.42632141926170614
sMAPE[0.5],0.4009201388888889
MSIS,4.681669623397243
RMSE[mean],2.9741301760043126
NRMSE[mean],0.39499286274172507
ND[0.5],0.29780766985185236
mean_weighted_sum_quantile_loss,0.2385794909456772
