metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_030\ETTm1_BM_030_short_forward.csv
clean_data,data\datasets\ori\ETTm1.csv
freq,T
term,short
prediction_length,48
windows,20
MSE[mean],4.139263661702474
MSE[0.5],4.139263661702474
MAE[0.5],1.6400028228759767
MASE[0.5],0.4502321159198687
MAPE[0.5],0.22130406697591146
sMAPE[0.5],0.2088354746500651
MSIS,8.538534254303517
RMSE[mean],2.0345180416261917
NRMSE[mean],0.23761729049804287
ND[0.5],0.1915407085156391
mean_weighted_sum_quantile_loss,0.17411357386765955
