metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_forward.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.007702392423995817
MSE[0.5],0.007702392423995817
MAE[0.5],0.06288655598958333
MASE[0.5],22.158606879836462
MAPE[0.5],0.09238939073350694
sMAPE[0.5],0.09337472626657196
MSIS,157.79063740545865
RMSE[mean],0.08776327491608217
NRMSE[mean],0.12690071567448713
ND[0.5],0.09093039165884034
mean_weighted_sum_quantile_loss,0.07507858782304067
