metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_010\traffic_BM_010_long_forward.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],2.54398998286989e-05
MSE[0.5],2.54398998286989e-05
MAE[0.5],0.002896858497902199
MASE[0.5],0.6404662198049584
MAPE[0.5],0.13639445797388838
sMAPE[0.5],0.11463972303602431
MSIS,6.670562670103272
RMSE[mean],0.005043798155031474
NRMSE[mean],0.15061457804944647
ND[0.5],0.0865040802426342
mean_weighted_sum_quantile_loss,0.07185380526564009
