metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Australia_Solar_H_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],90013007435.09334
MSE[0.5],90013007435.09334
MAE[0.5],173050.6311111111
MASE[0.5],1.4119818035723777
MAPE[0.5],185.74786324786325
sMAPE[0.5],0.9637267397845766
MSIS,10.385309824859089
RMSE[mean],300021.67827524286
NRMSE[mean],0.6314264050956455
ND[0.5],0.364202808710967
mean_weighted_sum_quantile_loss,0.28670985913957225
