metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Finland_Traffic_15T_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Finland_Traffic_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],932.1718055555556
MSE[0.5],932.1718055555556
MAE[0.5],18.86822482638889
MASE[0.5],0.456761382360561
MAPE[0.5],0.22229390623371717
sMAPE[0.5],0.17738536969951704
MSIS,4.266249045193696
RMSE[mean],30.531488754326336
NRMSE[mean],0.19688587249664885
ND[0.5],0.12167395233486951
mean_weighted_sum_quantile_loss,0.09950547200662489
