metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\OpenElectricity_NEM_5T_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\OpenElectricity_NEM_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],144851.94666666666
MSE[0.5],144851.94666666666
MAE[0.5],265.1146527777778
MASE[0.5],0.8616345362243145
MAPE[0.5],0.04760049184163411
sMAPE[0.5],0.04730851356470836
MSIS,7.054449272112188
RMSE[mean],380.5942020928152
NRMSE[mean],0.06439169596586734
ND[0.5],0.044854025689019875
mean_weighted_sum_quantile_loss,0.03562390306257122
