metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\electricity_BM_020_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],107906.94222222222
MSE[0.5],107906.94222222222
MAE[0.5],236.95416666666668
MASE[0.5],0.8130958950512717
MAPE[0.5],0.07124570757409368
sMAPE[0.5],0.06947736412809434
MSIS,5.538612562529197
RMSE[mean],328.49192109125335
NRMSE[mean],0.09908146026242336
ND[0.5],0.07147136151965508
mean_weighted_sum_quantile_loss,0.05545236055794237
