metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\electricity_BM_010_medium_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],68764.58666666667
MSE[0.5],68764.58666666667
MAE[0.5],183.74260416666667
MASE[0.5],0.6326338922087449
MAPE[0.5],0.05523509325515679
sMAPE[0.5],0.055568979709259725
MSIS,4.833298121686847
RMSE[mean],262.2300262492201
NRMSE[mean],0.08136333435096463
ND[0.5],0.057010675517079196
mean_weighted_sum_quantile_loss,0.045881468390548956
