metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.008820035529859138
MSE[0.5],0.008820035529859138
MAE[0.5],0.0700946106573548
MASE[0.5],24.424216082310817
MAPE[0.5],0.09995824332189078
sMAPE[0.5],0.1029242508253111
MSIS,179.41053368343518
RMSE[mean],0.09391504421475368
NRMSE[mean],0.1357958250173439
ND[0.5],0.10135282970978654
mean_weighted_sum_quantile_loss,0.08272568200421504
