metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\weather_BM_010_short_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\weather.csv
freq,10T
term,short
prediction_length,48
windows,20
MSE[mean],13.295334879557291
MSE[0.5],13.295334879557291
MAE[0.5],2.823502604166667
MASE[0.5],0.09648709457823389
MAPE[0.5],0.006572400530179341
sMAPE[0.5],0.006586919732163037
MSIS,0.7073547294748631
RMSE[mean],3.6462768517430613
NRMSE[mean],0.008516084385769016
ND[0.5],0.006594448918223907
mean_weighted_sum_quantile_loss,0.005194321846858103
