metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_020\ETTm1_BM_020_medium_linear.csv
clean_data,data\datasets\ori\ETTm1.csv
freq,T
term,medium
prediction_length,480
windows,20
MSE[mean],8.260774739583333
MSE[0.5],8.260774739583333
MAE[0.5],2.0284572347005208
MASE[0.5],0.5445670880725874
MAPE[0.5],0.3410133260664605
sMAPE[0.5],0.23427902221679686
MSIS,4.231710550934468
RMSE[mean],2.874156352668263
NRMSE[mean],0.3135659037406037
ND[0.5],0.22130147004965275
mean_weighted_sum_quantile_loss,0.18353248096410832
