metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_020\EWELD_Load_15T_BM_020_long_linear.csv
clean_data,data\datasets\ori\EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],4857.384567901235
MSE[0.5],4857.384567901235
MAE[0.5],43.51376350308642
MASE[0.5],1.2340675932269325
MAPE[0.5],1.1947044089988426
sMAPE[0.5],0.46317658600983797
MSIS,9.860483703064586
RMSE[mean],69.6949393277678
NRMSE[mean],0.4268564613838666
ND[0.5],0.26650616658219295
mean_weighted_sum_quantile_loss,0.2145646594085878
