metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_030\Supply_Chain_Customer_D_BM_030_long_linear.csv
clean_data,data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],1010080250.6903703
MSE[0.5],1010080250.6903703
MAE[0.5],20186.231111111112
MASE[0.5],0.6630627751679119
MAPE[0.5],0.36358818597114934
sMAPE[0.5],0.33350904676649307
MSIS,4.8898793715255735
RMSE[mean],31781.759716704964
NRMSE[mean],0.5013138106259195
ND[0.5],0.3184101991422322
mean_weighted_sum_quantile_loss,0.2560446277671735
