metric,value
model,chronos2
eval_data,data\datasets\Imputed\BM\BM_020\Water_Quality_Darwin_15T_BM_020_long_mean.csv
clean_data,data\datasets\ori\Water_Quality_Darwin_15T.csv
freq,15T
term,long
prediction_length,720
windows,16
MSE[mean],24.64848361545139
MSE[0.5],24.64848361545139
MAE[0.5],3.5633863661024305
MASE[0.5],2.9268615005278966
MAPE[0.5],0.02159296671549479
sMAPE[0.5],0.021310896343655055
MSIS,18.242711103564652
RMSE[mean],4.964723921372808
NRMSE[mean],0.029752706139723913
ND[0.5],0.02135473977848668
mean_weighted_sum_quantile_loss,0.01698935908335172
