metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Supply_Chain_Customer_D_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],866192224.7111111
MSE[0.5],866192224.7111111
MAE[0.5],18686.222222222223
MASE[0.5],0.6129431216221932
MAPE[0.5],0.3122663747951779
sMAPE[0.5],0.3065169224924788
MSIS,4.106250753716084
RMSE[mean],29431.1437886996
NRMSE[mean],0.4642360578932107
ND[0.5],0.2947496095850595
mean_weighted_sum_quantile_loss,0.23273267788894014
