metric,value
model,chronos2
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\current_velocity_15T_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\current_velocity_15T.csv
freq,15T
term,long
prediction_length,720
windows,15
MSE[mean],0.07488195348668981
MSE[0.5],0.07488195348668981
MAE[0.5],0.1692044632523148
MASE[0.5],1.6298807549051415
MAPE[0.5],0.012856873406304254
sMAPE[0.5],0.012955486014424271
MSIS,12.513905139225196
RMSE[mean],0.2736456714196112
NRMSE[mean],0.02157790005798046
ND[0.5],0.013342352460690219
mean_weighted_sum_quantile_loss,0.010715052614383734
