metric,value
model,kairos23m
eval_data,data\datasets\ori\ETTh2.csv
clean_data,data\datasets\ori\ETTh2.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],41.813211805555554
MSE[0.5],41.813211805555554
MAE[0.5],5.10693431712963
MASE[0.5],1.7123433323603758
MAPE[0.5],0.37972696940104167
sMAPE[0.5],0.23356555671414148
MSIS,27.51147427313903
RMSE[mean],6.466313617939943
NRMSE[mean],0.23614058494395246
ND[0.5],0.1864979845041187
mean_weighted_sum_quantile_loss,0.16099821595335886
