metric,value
model,kairos23m
eval_data,data\datasets\ori\exchange_rate.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.008425337666212911
MSE[0.5],0.008425337666212911
MAE[0.5],0.06520160713581123
MASE[0.5],23.14461805733483
MAPE[0.5],0.09786692609690656
sMAPE[0.5],0.09947572612144308
MSIS,457.2890623647853
RMSE[mean],0.0917896381200673
NRMSE[mean],0.13272260840398808
ND[0.5],0.0942778242559064
mean_weighted_sum_quantile_loss,0.08372629186752104
