metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_030/Coastal_T_S_15T_BM_030_long_backward.csv
clean_data,data/datasets/ori/Coastal_T_S_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],0.006234583324856228
MSE[0.5],0.006234583324856228
MAE[0.5],0.06313542260064019
MASE[0.5],1.1090686156594458
MAPE[0.5],0.0017792163954840766
sMAPE[0.5],0.0017789736058976915
MSIS,26.926746705602927
RMSE[mean],0.07895937768787333
NRMSE[mean],0.0022245987969552817
ND[0.5],0.0017787752294331732
mean_weighted_sum_quantile_loss,0.0016232861126932515
