metric,value
model,kairos23m
eval_data,data\datasets\Imputed\BM\BM_020\current_velocity_5T_BM_020_long_backward.csv
clean_data,data\datasets\ori\current_velocity_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],0.18677747938368056
MSE[0.5],0.18677747938368056
MAE[0.5],0.3547726779513889
MASE[0.5],2.621740340280586
MAPE[0.5],0.0034734725952148436
sMAPE[0.5],0.0034747778232781298
MSIS,57.36975148859458
RMSE[mean],0.43217760166820374
NRMSE[mean],0.0042322168704796255
ND[0.5],0.0034742080732907406
mean_weighted_sum_quantile_loss,0.003150833784920013
