metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_020/EWELD_Load_15T_BM_020_long_forward.csv
clean_data,data/datasets/ori/EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],5802.1858024691355
MSE[0.5],5802.1858024691355
MAE[0.5],50.755198688271605
MASE[0.5],1.4425114134749368
MAPE[0.5],1.4999942732445988
sMAPE[0.5],0.5853398075810186
MSIS,16.481064405748143
RMSE[mean],76.17208020311074
NRMSE[mean],0.46652662195221273
ND[0.5],0.3108573551807206
mean_weighted_sum_quantile_loss,0.26033238661682917
