metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_010/Supply_Chain_Location_D_BM_010_long_forward.csv
clean_data,data/datasets/ori/Supply_Chain_Location_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],661905735.68
MSE[0.5],661905735.68
MAE[0.5],17847.854814814815
MASE[0.5],1.177808963429054
MAPE[0.5],0.7607059778792135
sMAPE[0.5],0.7249681712962963
MSIS,23.080818977639762
RMSE[mean],25727.528751903086
NRMSE[mean],0.9183396473972383
ND[0.5],0.6370760618126499
mean_weighted_sum_quantile_loss,0.5685256826577948
