metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_020/exchange_rate_BM_020_short_forward.csv
clean_data,data/datasets/ori/exchange_rate.csv
freq,D
term,short
prediction_length,30
windows,20
MSE[mean],0.0004462407032648722
MSE[0.5],0.0004462407032648722
MAE[0.5],0.017248164812723794
MASE[0.5],5.434501280865829
MAPE[0.5],0.025284730593363444
sMAPE[0.5],0.025142181714375815
MSIS,33.45121558986855
RMSE[mean],0.021124410128211205
NRMSE[mean],0.030764670278970153
ND[0.5],0.02511947553376328
mean_weighted_sum_quantile_loss,0.019009794585536706
