metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Australia_Solar_H_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],75721699491.84
MSE[0.5],75721699491.84
MAE[0.5],166720.07111111112
MASE[0.5],1.3612474178910656
MAPE[0.5],136.6248157972296
sMAPE[0.5],0.9349069296841952
MSIS,17.565411023137784
RMSE[mean],275175.7610906891
NRMSE[mean],0.5791356231117042
ND[0.5],0.35087949565565124
mean_weighted_sum_quantile_loss,0.2979362488505587
