metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\EWELD_Load_15T_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],4490.013888888889
MSE[0.5],4490.013888888889
MAE[0.5],43.55589313271605
MASE[0.5],1.238091283923363
MAPE[0.5],1.7062157901716821
sMAPE[0.5],0.5258124785989106
MSIS,14.731938157920641
RMSE[mean],67.00756590780543
NRMSE[mean],0.4103972647832727
ND[0.5],0.26676419542613156
mean_weighted_sum_quantile_loss,0.22322763193447137
