metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\azure2019_U_5T_BM_030_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],2192.6736111111113
MSE[0.5],2192.6736111111113
MAE[0.5],40.996175130208336
MASE[0.5],1.200887142925992
MAPE[0.5],5.671786838107639
sMAPE[0.5],1.2747520913189165
MSIS,29.647525428660405
RMSE[mean],46.8259929004299
NRMSE[mean],1.7989503292944662
ND[0.5],1.5749817181052193
mean_weighted_sum_quantile_loss,1.4439654343430068
