metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\Coastal_T_S_H_BM_030_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],1114.3599826388888
MSE[0.5],1114.3599826388888
MAE[0.5],20.676340060763888
MASE[0.5],1.7161456099415
MAPE[0.5],0.7591644287109375
sMAPE[0.5],0.3788729777351278
MSIS,55.494886579708854
RMSE[mean],33.382030834550626
NRMSE[mean],0.5899232812388391
ND[0.5],0.3653898240376509
mean_weighted_sum_quantile_loss,0.3516724844528399
