metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\ETTh1_BM_030_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],12.123338396990741
MSE[0.5],12.123338396990741
MAE[0.5],2.7234311704282406
MASE[0.5],1.1381267171215979
MAPE[0.5],0.43226964077102803
sMAPE[0.5],0.3266325646829444
MSIS,20.43789259271851
RMSE[mean],3.481858468833956
NRMSE[mean],0.3165250113249644
ND[0.5],0.2475787254934712
mean_weighted_sum_quantile_loss,0.21726191475941758
