metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Finland_Traffic_15T_BM_010_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Finland_Traffic_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],1585.3861111111112
MSE[0.5],1585.3861111111112
MAE[0.5],27.39376519097222
MASE[0.5],0.6628973098499763
MAPE[0.5],0.3550778943266292
sMAPE[0.5],0.2522244722234988
MSIS,7.257572913241271
RMSE[mean],39.81690735241891
NRMSE[mean],0.2567639792241832
ND[0.5],0.17665189549031207
mean_weighted_sum_quantile_loss,0.14678687852989072
