metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\NE_China_Wind_H_BM_030_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\NE_China_Wind_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],0.601988262600369
MSE[0.5],0.601988262600369
MAE[0.5],0.6079588148328993
MASE[0.5],1.3241288649606127
MAPE[0.5],2.625780232747396
sMAPE[0.5],0.835250849421305
MSIS,19.207810048102946
RMSE[mean],0.775879025751031
NRMSE[mean],0.825047357544762
ND[0.5],0.6464858528536688
mean_weighted_sum_quantile_loss,0.5517193717953327
