metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_030/traffic_BM_030_short_linear.csv
clean_data,data/datasets/ori/traffic.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],0.001156879961490631
MSE[0.5],0.001156879961490631
MAE[0.5],0.02548133134841919
MASE[0.5],5.311289942222217
MAPE[0.5],1.712589645385742
sMAPE[0.5],0.6884151458740234
MSIS,78.06508636001382
RMSE[mean],0.03401293814845508
NRMSE[mean],0.897152985305882
ND[0.5],0.6721163690423785
mean_weighted_sum_quantile_loss,0.5873381079658124
