metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_020/weather_BM_020_medium_linear.csv
clean_data,data/datasets/ori/weather.csv
freq,10T
term,medium
prediction_length,480
windows,20
MSE[mean],302.92671875
MSE[0.5],302.92671875
MAE[0.5],12.499066569010417
MASE[0.5],0.40066744413886785
MAPE[0.5],0.028050476710001628
sMAPE[0.5],0.028184337615966795
MSIS,6.219329802366709
RMSE[mean],17.404790109334844
NRMSE[mean],0.03973352880324737
ND[0.5],0.028534214915187008
mean_weighted_sum_quantile_loss,0.0246796845126787
