metric,value
model,kairos23m
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_H_BM_030_long_mean.csv
clean_data,data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],895.95546875
MSE[0.5],895.95546875
MAE[0.5],23.154584418402777
MASE[0.5],1.8830211301353574
MAPE[0.5],0.6626385158962673
sMAPE[0.5],0.4435823183767383
MSIS,48.16861800264079
RMSE[mean],29.932515242625367
NRMSE[mean],0.5289638516954783
ND[0.5],0.409185063770544
mean_weighted_sum_quantile_loss,0.3814412545673239
