metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_020/NE_China_Wind_H_BM_020_long_mean.csv
clean_data,data/datasets/ori/NE_China_Wind_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],0.5813395182291666
MSE[0.5],0.5813395182291666
MAE[0.5],0.5829197777642144
MASE[0.5],1.2661034451547406
MAPE[0.5],1.7748348659939237
sMAPE[0.5],0.8924021402994792
MSIS,20.038568891520786
RMSE[mean],0.7624562402060636
NRMSE[mean],0.8107739548914997
ND[0.5],0.6198600636734715
mean_weighted_sum_quantile_loss,0.534864601913431
