metric,value
model,kairos23m
eval_data,data/datasets/Imputed/BM/BM_030/traffic_BM_030_long_mean.csv
clean_data,data/datasets/ori/traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],5.5412843271538065e-05
MSE[0.5],5.5412843271538065e-05
MAE[0.5],0.0053924581739637585
MASE[0.5],1.1942212517830186
MAPE[0.5],0.3569369409304076
sMAPE[0.5],0.24090992115162038
MSIS,11.65343345867006
RMSE[mean],0.0074439803379333334
NRMSE[mean],0.2222872373446928
ND[0.5],0.16102603386510256
mean_weighted_sum_quantile_loss,0.13261018567955868
