metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\Australia_Solar_H_BM_030_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],85690879690.52444
MSE[0.5],85690879690.52444
MAE[0.5],178064.0
MASE[0.5],1.454002344506046
MAPE[0.5],115.41826309067689
sMAPE[0.5],0.9727570630111259
MSIS,19.244057447574377
RMSE[mean],292730.04575978266
NRMSE[mean],0.6160804163224887
ND[0.5],0.37475395792500926
mean_weighted_sum_quantile_loss,0.3179870886736842
