metric,value
model,kairos23m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\electricity_BM_020_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],95154.56888888888
MSE[0.5],95154.56888888888
MAE[0.5],217.96791666666667
MASE[0.5],0.7486730156602307
MAPE[0.5],0.06477007629788745
sMAPE[0.5],0.06414644047940131
MSIS,8.951625229039868
RMSE[mean],308.4713420868929
NRMSE[mean],0.09304274796635993
ND[0.5],0.06574462897579793
mean_weighted_sum_quantile_loss,0.05510580660627143
