metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_010\EWELD_Load_15T_BM_010_long_backward.csv
clean_data,data\datasets\ori\EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],4717.334567901235
MSE[0.5],4717.334567901235
MAE[0.5],43.09847125771605
MASE[0.5],1.223244725201223
MAPE[0.5],1.46299129533179
sMAPE[0.5],0.5455732979738385
MSIS,13.836761059870328
RMSE[mean],68.68285497779802
NRMSE[mean],0.42065780839102346
ND[0.5],0.2639626507974202
mean_weighted_sum_quantile_loss,0.2195503389000601
