metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_020\electricity_BM_020_long_backward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],143368.4088888889
MSE[0.5],143368.4088888889
MAE[0.5],259.7576736111111
MASE[0.5],0.8920963525094118
MAPE[0.5],0.07668765788856866
sMAPE[0.5],0.07557846777904563
MSIS,11.584855634919924
RMSE[mean],378.640210343393
NRMSE[mean],0.11420745091771284
ND[0.5],0.07834947517205207
mean_weighted_sum_quantile_loss,0.06633885661657914
