metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_010\ETTh2_BM_010_long_forward.csv
clean_data,data\datasets\ori\ETTh2.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],42.31785300925926
MSE[0.5],42.31785300925926
MAE[0.5],5.1197714120370375
MASE[0.5],1.7118921874299775
MAPE[0.5],0.34346105504918983
sMAPE[0.5],0.23420884833162298
MSIS,26.13157447637588
RMSE[mean],6.505217368332842
NRMSE[mean],0.2375612946275665
ND[0.5],0.18696677696911856
mean_weighted_sum_quantile_loss,0.16118473519840604
