metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_forward.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.0034349846117424244
MSE[0.5],0.0034349846117424244
MAE[0.5],0.04158699420967488
MASE[0.5],15.642800952667073
MAPE[0.5],0.06578637325402462
sMAPE[0.5],0.06684514519697471
MSIS,265.9933698289276
RMSE[mean],0.05860874176897525
NRMSE[mean],0.08474491502710872
ND[0.5],0.06013243390250281
mean_weighted_sum_quantile_loss,0.05232943502851252
