metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Supply_Chain_Customer_D_BM_010_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],2582119565.0844445
MSE[0.5],2582119565.0844445
MAE[0.5],34594.21333333333
MASE[0.5],1.1356273546804894
MAPE[0.5],0.6947858603259598
sMAPE[0.5],0.5742260864717432
MSIS,21.41833402239847
RMSE[mean],50814.56056175675
NRMSE[mean],0.8015302241778106
ND[0.5],0.54567642151746
mean_weighted_sum_quantile_loss,0.4846902670648288
