metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\current_velocity_H_BM_020_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\current_velocity_H.csv
freq,H
term,long
prediction_length,720
windows,5
MSE[mean],97.71223958333333
MSE[0.5],97.71223958333333
MAE[0.5],7.800682508680556
MASE[0.5],1.2436447648482516
MAPE[0.5],0.04064859178331163
sMAPE[0.5],0.04104285245390329
MSIS,24.84098562364324
RMSE[mean],9.884950155834542
NRMSE[mean],0.05149613823829941
ND[0.5],0.04063804252801354
mean_weighted_sum_quantile_loss,0.03617227525862587
