metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Coastal_T_S_5T_BM_010_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],674.0459027777778
MSE[0.5],674.0459027777778
MAE[0.5],11.857413194444444
MASE[0.5],0.3994482949333523
MAPE[0.5],0.3140599907769097
sMAPE[0.5],0.25998735417677343
MSIS,6.028233759737696
RMSE[mean],25.962394010910817
NRMSE[mean],0.9549838334643158
ND[0.5],0.4361553831531138
mean_weighted_sum_quantile_loss,0.3662857169033792
