metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\ETTh1_BM_010_medium_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh1.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],9.199691569010417
MSE[0.5],9.199691569010417
MAE[0.5],2.3159269205729167
MASE[0.5],0.9871874699412073
MAPE[0.5],0.3721091951069079
sMAPE[0.5],0.3233529555463478
MSIS,13.483302492642725
RMSE[mean],3.0330993338515007
NRMSE[mean],0.29302208719629413
ND[0.5],0.2237373937894205
mean_weighted_sum_quantile_loss,0.189777619991574
