metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\OpenElectricity_NEM_5T_BM_010_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\OpenElectricity_NEM_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],134762.8088888889
MSE[0.5],134762.8088888889
MAE[0.5],258.9596875
MASE[0.5],0.8420291838017349
MAPE[0.5],0.04603707631429037
sMAPE[0.5],0.04622009064679609
MSIS,12.585131403715842
RMSE[mean],367.10054329691326
NRMSE[mean],0.062108740603239475
ND[0.5],0.04381268388541961
mean_weighted_sum_quantile_loss,0.03750178669007015
