metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_030\OpenElectricity_NEM_5T_BM_030_long_linear.csv
clean_data,data\datasets\ori\OpenElectricity_NEM_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],139813.08444444445
MSE[0.5],139813.08444444445
MAE[0.5],268.08434027777776
MASE[0.5],0.870997892500285
MAPE[0.5],0.0479776848687066
sMAPE[0.5],0.047843386382545344
MSIS,12.89461562371198
RMSE[mean],373.91587883432345
NRMSE[mean],0.06326180865161522
ND[0.5],0.04535645902500381
mean_weighted_sum_quantile_loss,0.03883226798215698
