metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_20T_BM_030_long_mean.csv
clean_data,data\datasets\ori\Coastal_T_S_20T.csv
freq,20T
term,long
prediction_length,720
windows,7
MSE[mean],0.4843004014756944
MSE[0.5],0.4843004014756944
MAE[0.5],0.5242287772042411
MASE[0.5],5.66528517206653
MAPE[0.5],0.028162765502929687
sMAPE[0.5],0.02881195335277701
MSIS,155.23765738042562
RMSE[mean],0.6959169501281705
NRMSE[mean],0.03833856978172975
ND[0.5],0.028880143748092463
mean_weighted_sum_quantile_loss,0.027178701234749168
