metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_020\EWELD_Load_15T_BM_020_long_mean.csv
clean_data,data\datasets\ori\EWELD_Load_15T.csv
freq,15T
term,long
prediction_length,720
windows,18
MSE[mean],5674.90987654321
MSE[0.5],5674.90987654321
MAE[0.5],52.41531153549383
MASE[0.5],1.4882737581701169
MAPE[0.5],1.8576749071662808
sMAPE[0.5],0.5867572884122093
MSIS,16.226133902945005
RMSE[mean],75.33199769383
NRMSE[mean],0.46138141843183056
ND[0.5],0.3210249498769519
mean_weighted_sum_quantile_loss,0.2668986344350931
