metric,value
model,kairos50m
eval_data,data\datasets\Imputed\BM\BM_020\azure2019_U_5T_BM_020_long_mean.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1163.9646701388888
MSE[0.5],1163.9646701388888
MAE[0.5],30.778385416666666
MASE[0.5],0.9078734571117075
MAPE[0.5],3.6188340928819445
sMAPE[0.5],1.1822515649753595
MSIS,20.616956997407474
RMSE[mean],34.11692644625082
NRMSE[mean],1.3106963091098605
ND[0.5],1.182437000283152
mean_weighted_sum_quantile_loss,1.0738027600170335
