metric,value
model,kairos50m
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Coastal_T_S_5T_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],680.7463194444445
MSE[0.5],680.7463194444445
MAE[0.5],11.123427734375
MASE[0.5],0.375936741794515
MAPE[0.5],0.24514356825086805
sMAPE[0.5],0.2341285462980225
MSIS,6.55454915344994
RMSE[mean],26.091115718658802
NRMSE[mean],0.9597186491312988
ND[0.5],0.40915693886212845
mean_weighted_sum_quantile_loss,0.3387873723897718
