metric,value
eval_data,datasets\Imputed\BM\BM_020\ETTh1_BM_020_short_backward.csv
clean_data,datasets\ori\ETTh1.csv
freq,H
term,short
prediction_length,48
windows,20
imputation_method,backward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.556709 , 13.448988 , 13.403793 , ..., 14.5410595, 14.213564 ,
        13.819203 ],
       [13.622337 , 13.170397 , 12.689983 , ..., 14.373286 , 14.212942 ,
        13.776485 ],
       [13.665669 , 13.332598 , 13.083725 , ..., 13.552376 , 13.445275 ,
        13.135729 ],
       ...,
       [13.474371 , 13.186493 , 12.850946 , ..., 15.051809 , 15.013426 ,
        14.613493 ],
       [13.55609  , 13.453323 , 13.345602 , ..., 14.716265 , 14.513205 ,
        14.224085 ],
       [13.524515 , 13.130773 , 12.772324 , ..., 10.232821 , 10.041832 ,
         9.534179 ]], dtype=float32), start_date=Period('2018-05-17 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 5.780388 ,  5.7232857,  5.6150894, ..., 14.005375 , 13.741089 ,
        13.009693 ],
       [ 5.7622895,  5.8608127,  5.946815 , ...,  6.494582 ,  6.3578734,
         6.251852 ],
       [ 5.674609 ,  5.6633773,  5.717826 , ..., 14.297745 , 14.248135 ,
        13.8016205],
       ...,
       [ 5.6688366,  5.6304574,  5.65659  , ...,  9.187033 ,  9.05411  ,
         8.791226 ],
       [ 5.6895084,  5.7129116,  5.700897 , ..., 17.273558 , 16.932514 ,
        16.566504 ],
       [ 5.623983 ,  5.5299063,  5.4560328, ...,  5.0062056,  4.956223 ,
         4.8169703]], dtype=float32), start_date=Period('2018-05-19 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 6.414516 ,  6.382517 ,  6.3987603, ..., 10.305679 ,  9.933609 ,
         9.674656 ],
       [ 6.073033 ,  6.1101155,  6.2228327, ...,  8.670472 ,  8.656605 ,
         8.474777 ],
       [ 6.258367 ,  6.524169 ,  6.550881 , ...,  9.847291 ,  9.588026 ,
         9.617318 ],
       ...,
       [ 6.0860825,  5.903904 ,  5.8500333, ...,  8.122026 ,  7.670183 ,
         7.5730376],
       [ 6.706758 ,  6.8055387,  7.058588 , ..., 12.114302 , 11.964102 ,
        11.654355 ],
       [ 6.388792 ,  6.3056545,  6.457302 , ...,  9.597687 ,  9.504202 ,
         9.193832 ]], dtype=float32), start_date=Period('2018-05-21 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.456366 ,  9.35244  ,  9.198731 , ..., 11.526466 , 11.463924 ,
        10.929051 ],
       [ 9.566825 ,  9.598873 ,  9.591718 , ...,  9.570869 ,  9.358042 ,
         9.09045  ],
       [ 9.188462 ,  8.672882 ,  8.354418 , ...,  7.7923203,  7.438539 ,
         7.0013943],
       ...,
       [ 9.438319 ,  9.342172 ,  9.2310915, ...,  7.6757927,  7.4359326,
         7.0309963],
       [ 9.293323 ,  9.137434 ,  8.965055 , ...,  9.816992 ,  9.506149 ,
         9.0528   ],
       [ 9.525441 ,  9.394756 ,  9.401604 , ...,  8.189973 ,  7.871276 ,
         7.5879703]], dtype=float32), start_date=Period('2018-05-23 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 7.2522483,  7.566745 ,  7.5490265, ..., 11.420707 , 11.275037 ,
        11.18392  ],
       [ 7.142883 ,  7.273895 ,  7.2823563, ..., 10.241149 , 10.00164  ,
         9.847509 ],
       [ 7.062957 ,  7.4246264,  7.6213703, ...,  8.846561 ,  8.614761 ,
         8.414693 ],
       ...,
       [ 7.037088 ,  6.8964458,  6.7635884, ...,  8.496745 ,  8.252704 ,
         8.251647 ],
       [ 7.277581 ,  6.7341475,  6.546393 , ...,  9.064613 ,  8.939798 ,
         8.555677 ],
       [ 7.255686 ,  7.463007 ,  7.4651613, ...,  6.9516635,  7.0930967,
         7.070423 ]], dtype=float32), start_date=Period('2018-05-25 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[11.431963 , 11.531399 , 11.477589 , ..., 12.781944 , 12.5479765,
        12.363729 ],
       [11.252981 , 11.196831 , 11.088621 , ...,  9.946289 ,  9.915581 ,
         9.885166 ],
       [11.326681 , 11.403889 , 11.274038 , ..., 11.996406 , 11.5132675,
        11.258245 ],
       ...,
       [11.393946 , 11.33136  , 11.221396 , ..., 12.627523 , 12.229198 ,
        12.316935 ],
       [11.171093 , 10.842666 , 10.331453 , ..., 11.85778  , 11.598663 ,
        11.701609 ],
       [11.554213 , 11.555381 , 11.550701 , ..., 12.566692 , 12.521655 ,
        12.463163 ]], dtype=float32), start_date=Period('2018-05-27 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.798503 , 10.839081 , 10.88311  , ..., 12.583028 , 12.062147 ,
        11.288017 ],
       [10.646844 , 10.509283 , 10.4335985, ..., 11.05031  , 10.877355 ,
        10.614899 ],
       [10.660367 , 10.555904 , 10.527126 , ..., 11.601698 , 11.370897 ,
        11.140961 ],
       ...,
       [10.771165 , 10.767711 , 10.814906 , ..., 10.943544 , 10.689722 ,
        10.565977 ],
       [10.7444   , 10.797639 , 10.830447 , ..., 11.797964 , 11.615511 ,
        11.430181 ],
       [10.702384 , 10.658067 , 10.789007 , ..., 13.940777 , 13.837751 ,
        13.535868 ]], dtype=float32), start_date=Period('2018-05-29 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.488567 , 10.504787 , 10.518731 , ...,  9.890102 ,  9.78111  ,
         9.693746 ],
       [10.455555 , 10.464378 , 10.489418 , ..., 11.871323 , 11.80587  ,
        11.720497 ],
       [10.429659 , 10.410021 , 10.426529 , ...,  8.80857  ,  8.721348 ,
         8.653619 ],
       ...,
       [10.482592 , 10.506778 , 10.506209 , ..., 10.857094 , 10.682932 ,
        10.6872015],
       [10.447588 , 10.441042 , 10.42909  , ..., 11.184071 , 11.030115 ,
        10.976899 ],
       [10.474339 , 10.4695   , 10.425106 , ..., 11.02357  , 10.835179 ,
        10.695452 ]], dtype=float32), start_date=Period('2018-05-31 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.873789 , 10.680101 , 10.50116  , ..., 10.80261  , 10.811968 ,
        10.857057 ],
       [10.973609 , 10.975595 , 10.996581 , ..., 11.52433  , 11.419405 ,
        11.17524  ],
       [10.972477 , 10.879461 , 10.856491 , ...,  7.807629 ,  7.6890574,
         7.6502976],
       ...,
       [10.913491 , 10.820759 , 10.704205 , ..., 11.127314 , 11.036283 ,
        10.749864 ],
       [10.991194 , 10.98467  , 11.051878 , ..., 11.62018  , 11.504478 ,
        11.369493 ],
       [10.918311 , 10.812819 , 10.763191 , ..., 11.818122 , 11.677464 ,
        11.346807 ]], dtype=float32), start_date=Period('2018-06-02 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.263597 ,  9.031832 ,  9.005724 , ...,  9.88294  ,  9.9180355,
         9.808541 ],
       [ 9.313571 ,  9.1852665,  9.118166 , ...,  9.761655 ,  9.70382  ,
         9.471496 ],
       [ 9.277214 ,  9.164771 ,  9.110024 , ...,  8.888088 ,  8.78828  ,
         8.682927 ],
       ...,
       [ 9.371968 ,  9.292093 ,  9.347683 , ..., 11.134544 , 11.097203 ,
        11.060986 ],
       [ 9.3643875,  9.343612 ,  9.4473505, ...,  9.578604 ,  9.40229  ,
         9.307816 ],
       [ 9.2992525,  9.040398 ,  8.799229 , ..., 10.182507 , 10.072451 ,
         9.959026 ]], dtype=float32), start_date=Period('2018-06-04 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.672863 , 10.650833 , 10.601757 , ..., 10.745364 , 10.596457 ,
        10.382578 ],
       [10.653344 , 10.585302 , 10.5105715, ..., 10.237575 ,  9.979916 ,
         9.634417 ],
       [10.669238 , 10.631035 , 10.573311 , ..., 10.9241085, 10.760143 ,
        10.643305 ],
       ...,
       [10.643863 , 10.592833 , 10.532877 , ..., 10.298922 , 10.182362 ,
        10.054647 ],
       [10.675651 , 10.623785 , 10.602868 , ..., 10.244546 , 10.017839 ,
         9.885385 ],
       [10.7283535, 10.717479 , 10.694056 , ..., 10.982946 , 10.842963 ,
        10.737836 ]], dtype=float32), start_date=Period('2018-06-06 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[6.970109 , 6.947462 , 7.0183015, ..., 7.8344975, 7.772168 ,
        7.6740804],
       [6.9049306, 6.879385 , 6.857291 , ..., 5.481331 , 5.574795 ,
        5.4747496],
       [6.96714  , 7.040327 , 7.234651 , ..., 9.0058   , 9.025354 ,
        9.016398 ],
       ...,
       [7.0335608, 7.038601 , 7.1278753, ..., 8.252105 , 8.170939 ,
        8.089091 ],
       [6.8759327, 6.7555885, 6.6477413, ..., 7.5376754, 7.56729  ,
        7.518251 ],
       [6.911974 , 6.82843  , 6.8195233, ..., 8.443471 , 8.627748 ,
        8.690064 ]], dtype=float32), start_date=Period('2018-06-08 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.747278 ,  9.752481 ,  9.72182  , ..., 10.051147 , 10.058949 ,
        10.051832 ],
       [ 9.778215 ,  9.909343 ,  9.827216 , ...,  8.517164 ,  8.393632 ,
         8.363314 ],
       [ 9.740984 ,  9.770823 ,  9.745637 , ..., 10.053612 ,  9.952732 ,
         9.939729 ],
       ...,
       [ 9.729212 ,  9.676377 ,  9.612182 , ...,  8.795846 ,  8.739179 ,
         8.745065 ],
       [ 9.728664 ,  9.770824 ,  9.68678  , ...,  9.955059 ,  9.972443 ,
         9.899898 ],
       [ 9.7396145,  9.8034   ,  9.712788 , ...,  9.096428 ,  9.186494 ,
         9.15857  ]], dtype=float32), start_date=Period('2018-06-10 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.613295, 10.554745, 10.492416, ...,  9.321966,  9.271511,
         9.150095],
       [10.646481, 10.646211, 10.638656, ..., 10.236634, 10.108743,
         9.993801],
       [10.666986, 10.680478, 10.720139, ..., 10.119535,  9.841627,
         9.721154],
       ...,
       [10.680478, 10.657543, 10.538556, ...,  9.581121,  9.531206,
         9.48264 ],
       [10.635149, 10.637037, 10.656464, ..., 10.30085 , 11.210121,
        11.927555],
       [10.686684, 10.703682, 10.688032, ..., 10.27117 , 10.357241,
        10.157578]], dtype=float32), start_date=Period('2018-06-12 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 8.52972  ,  8.531403 ,  8.570075 , ..., 10.185657 , 10.206524 ,
        10.082531 ],
       [ 8.483137 ,  8.46079  ,  8.447327 , ...,  9.354322 ,  9.365766 ,
         9.366573 ],
       [ 8.518411 ,  8.526893 ,  8.557184 , ...,  9.216462 ,  9.044608 ,
         8.96612  ],
       ...,
       [ 8.467857 ,  8.46567  ,  8.451869 , ...,  9.065207 ,  8.953531 ,
         9.01977  ],
       [ 8.460958 ,  8.447697 ,  8.450726 , ..., 12.348876 , 12.502621 ,
        12.418882 ],
       [ 8.498419 ,  8.492596 ,  8.489264 , ...,  9.173111 ,  9.0534935,
         9.088295 ]], dtype=float32), start_date=Period('2018-06-14 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.781199 ,  9.764568 ,  9.763771 , ...,  8.438225 ,  8.255694 ,
         8.1582   ],
       [ 9.746342 ,  9.708957 ,  9.681018 , ...,  9.568864 ,  9.483317 ,
         9.385797 ],
       [ 9.775345 ,  9.767229 ,  9.773482 , ..., 10.356207 , 10.147466 ,
        10.13243  ],
       ...,
       [ 9.769226 ,  9.7524605,  9.689931 , ...,  9.75592  ,  9.680087 ,
         9.568863 ],
       [ 9.770822 ,  9.757387 ,  9.720931 , ...,  9.150181 ,  9.089845 ,
         8.992393 ],
       [ 9.753927 ,  9.697117 ,  9.634585 , ...,  8.830413 ,  8.696706 ,
         8.562965 ]], dtype=float32), start_date=Period('2018-06-16 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[8.988476 , 8.960711 , 8.998822 , ..., 9.277984 , 9.380533 ,
        9.391927 ],
       [8.966735 , 8.927051 , 8.962675 , ..., 6.080825 , 5.808441 ,
        5.8393326],
       [8.945518 , 8.903477 , 8.922337 , ..., 9.214202 , 9.150812 ,
        9.130316 ],
       ...,
       [9.019123 , 9.02888  , 9.047936 , ..., 9.628197 , 9.537958 ,
        9.407643 ],
       [8.968897 , 8.918995 , 8.989655 , ..., 9.412882 , 9.292259 ,
        9.269077 ],
       [8.968831 , 8.941261 , 8.95534  , ..., 7.3522997, 7.280913 ,
        7.183627 ]], dtype=float32), start_date=Period('2018-06-18 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[4.491457 , 4.692344 , 4.8386765, ..., 7.9631414, 7.9814653,
        7.799856 ],
       [4.4251747, 4.473101 , 4.508283 , ..., 9.562739 , 9.619507 ,
        9.504983 ],
       [4.3160634, 4.3130035, 4.335438 , ..., 7.244484 , 7.1254296,
        6.9472313],
       ...,
       [4.5108323, 4.716819 , 4.950083 , ..., 7.111536 , 7.0198874,
        6.8127537],
       [4.3451242, 4.335947 , 4.3543034, ..., 6.040943 , 6.0188913,
        5.858028 ],
       [4.2706833, 4.254369 , 4.2706847, ..., 6.506706 , 6.492175 ,
        6.3511963]], dtype=float32), start_date=Period('2018-06-20 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 8.5590925,  8.898795 ,  9.279677 , ..., 10.124847 ,  9.995067 ,
         9.930492 ],
       [ 8.347599 ,  8.109547 ,  7.953537 , ...,  8.483838 ,  8.505185 ,
         8.445755 ],
       [ 8.838056 ,  9.026627 ,  9.061923 , ..., 11.1805935, 11.262562 ,
        11.317425 ],
       ...,
       [ 8.425783 ,  8.3262005,  8.187823 , ...,  8.258695 ,  8.372282 ,
         8.358266 ],
       [ 8.55112  ,  8.45043  ,  8.528485 , ...,  9.228363 ,  9.308651 ,
         9.307873 ],
       [ 8.532902 ,  8.259302 ,  8.026683 , ...,  7.5786686,  7.610103 ,
         7.4913654]], dtype=float32), start_date=Period('2018-06-22 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[8.858015 , 8.828264 , 8.813797 , ..., 8.332404 , 8.244776 ,
        8.1842   ],
       [8.891792 , 8.890786 , 8.89368  , ..., 9.386497 , 9.462384 ,
        9.469303 ],
       [8.850153 , 8.784706 , 8.753131 , ..., 7.797921 , 7.788522 ,
        7.6975384],
       ...,
       [8.911669 , 8.911796 , 8.926199 , ..., 9.189903 , 9.174243 ,
        9.015389 ],
       [8.860218 , 8.810936 , 8.756496 , ..., 8.612236 , 8.570055 ,
        8.455295 ],
       [8.889402 , 8.866884 , 8.882232 , ..., 8.859588 , 8.854745 ,
        8.852638 ]], dtype=float32), start_date=Period('2018-06-24 20:00', 'h'))]"
MSE[mean],3.0854146321614584
MSE[0.5],3.0461802164713543
