metric,value
eval_data,datasets\Imputed\BM\BM_010\ETTh2_BM_010_long_backward.csv
clean_data,datasets\ori\ETTh2.csv
freq,H
term,long
prediction_length,720
windows,15
imputation_method,backward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[27.873848, 25.918465, 24.501736, ..., 21.15271 , 21.347221,
        21.076616],
       [27.547237, 25.29945 , 23.438118, ..., 24.473522, 23.816029,
        22.869549],
       [27.58999 , 25.35246 , 23.745064, ..., 26.39299 , 24.922398,
        23.556965],
       ...,
       [27.586567, 25.549961, 24.198214, ..., 18.681555, 17.448008,
        16.687513],
       [27.306978, 25.373833, 24.197353, ..., 21.500267, 20.321226,
        19.659458],
       [28.05169 , 26.299795, 25.198559, ..., 21.533184, 19.759706,
        19.015003]], dtype=float32), start_date=Period('2017-04-02 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[23.180721, 22.768074, 22.31759 , ..., 29.305172, 28.607101,
        28.393112],
       [23.099173, 22.371414, 21.555256, ..., 36.42552 , 34.566166,
        32.80467 ],
       [23.033932, 22.444485, 21.836441, ..., 23.095911, 21.586895,
        20.419746],
       ...,
       [23.159193, 22.623568, 22.105558, ..., 25.14479 , 23.640015,
        23.116787],
       [23.291956, 22.813417, 22.440893, ..., 19.85944 , 19.400948,
        19.161617],
       [23.167023, 22.650316, 22.266378, ..., 28.969837, 27.707436,
        26.973476]], dtype=float32), start_date=Period('2017-05-02 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[41.61606 , 39.800453, 38.178825, ..., 36.45263 , 35.25839 ,
        33.7474  ],
       [42.57843 , 41.255363, 40.082336, ..., 42.93154 , 42.282898,
        40.724922],
       [42.343513, 40.988632, 39.911083, ..., 38.003025, 37.42106 ,
        36.725433],
       ...,
       [42.520836, 41.317497, 40.16266 , ..., 38.29704 , 37.3665  ,
        36.857277],
       [41.703964, 39.55493 , 38.197014, ..., 35.038635, 33.658745,
        33.006306],
       [42.076782, 40.43849 , 39.15786 , ..., 40.455162, 38.91992 ,
        37.992416]], dtype=float32), start_date=Period('2017-06-01 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[30.77979 , 30.411518, 30.165482, ..., 33.129616, 32.889275,
        32.59824 ],
       [30.879446, 30.52393 , 30.112465, ..., 37.268238, 35.976513,
        35.144096],
       [30.930656, 30.589964, 30.347204, ..., 40.07513 , 38.760647,
        38.17444 ],
       ...,
       [31.073929, 30.87893 , 30.680656, ..., 42.277195, 41.3041  ,
        40.525475],
       [30.72686 , 30.286085, 29.897034, ..., 41.411682, 40.25444 ,
        39.877884],
       [31.006   , 30.73479 , 30.540998, ..., 39.2503  , 37.976513,
        37.69996 ]], dtype=float32), start_date=Period('2017-07-01 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[39.58702 , 39.530678, 39.45839 , ..., 44.817276, 44.061077,
        43.462364],
       [39.482483, 39.417328, 39.32534 , ..., 43.072727, 41.35533 ,
        40.277374],
       [39.426483, 39.292755, 39.195007, ..., 54.23378 , 50.83699 ,
        49.792976],
       ...,
       [39.420376, 39.27545 , 39.15326 , ..., 49.54317 , 49.042206,
        48.390545],
       [39.565304, 39.49063 , 39.438362, ..., 58.5999  , 57.40654 ,
        56.382885],
       [39.500134, 39.361656, 39.306335, ..., 45.367115, 44.67201 ,
        44.442574]], dtype=float32), start_date=Period('2017-07-31 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.492355, 33.612175, 33.800854, ..., 47.165554, 46.548553,
        45.350883],
       [33.343796, 33.461994, 33.549828, ..., 49.810303, 48.42124 ,
        47.554295],
       [33.36277 , 33.37741 , 33.459824, ..., 47.277786, 46.294815,
        45.722275],
       ...,
       [33.30964 , 33.311268, 33.405605, ..., 46.104515, 44.975697,
        44.124744],
       [33.35952 , 33.342712, 33.435425, ..., 49.139084, 48.410397,
        48.221176],
       [33.257053, 33.225063, 33.20392 , ..., 43.895676, 43.171326,
        42.15691 ]], dtype=float32), start_date=Period('2017-08-30 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.129818, 27.722717, 27.536263, ..., 29.121668, 28.079576,
        27.380882],
       [27.996193, 27.379843, 26.987247, ..., 32.561543, 32.284706,
        31.458595],
       [27.9734  , 27.272118, 26.664055, ..., 35.859116, 34.80162 ,
        34.00115 ],
       ...,
       [27.976507, 27.404705, 26.99139 , ..., 35.421074, 34.442947,
        33.476475],
       [27.870852, 27.16024 , 26.579117, ..., 33.539925, 32.63794 ,
        32.201836],
       [27.921618, 27.247253, 26.752106, ..., 37.939857, 37.015648,
        36.029648]], dtype=float32), start_date=Period('2017-09-29 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[22.614717, 21.767363, 20.960175, ..., 32.91092 , 31.4647  ,
        29.968452],
       [22.759289, 22.04982 , 21.470192, ..., 23.061146, 21.705122,
        21.341682],
       [22.700394, 21.911942, 21.33499 , ..., 24.483437, 23.70369 ,
        22.46077 ],
       ...,
       [22.658894, 21.865086, 21.190418, ..., 27.469908, 26.324045,
        25.129993],
       [22.563854, 21.661617, 20.949463, ..., 25.289288, 24.915146,
        23.847591],
       [22.582584, 21.70044 , 20.94144 , ..., 28.358086, 27.767084,
        26.970604]], dtype=float32), start_date=Period('2017-10-29 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[21.60086 , 21.11987 , 20.718489, ..., 21.227364, 19.96061 ,
        19.291174],
       [21.472275, 20.821888, 20.164701, ..., 26.105593, 24.751757,
        24.263626],
       [21.406965, 20.77835 , 20.198719, ..., 19.251034, 18.661879,
        17.772701],
       ...,
       [21.431456, 20.752499, 20.06946 , ..., 28.018139, 26.715496,
        26.047424],
       [21.363422, 20.715757, 20.085789, ..., 27.858791, 26.267168,
        25.610828],
       [21.500854, 21.002855, 20.56337 , ..., 19.682358, 17.519623,
        17.00666 ]], dtype=float32), start_date=Period('2017-11-28 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[15.865895, 15.806093, 15.632793, ..., 15.23251 , 14.111169,
        13.332352],
       [16.012012, 16.089485, 16.08337 , ..., 14.499902, 14.476115,
        13.978651],
       [15.9359  , 15.880171, 15.642309, ..., 18.194206, 17.832657,
        17.083061],
       ...,
       [15.777551, 15.600855, 15.188337, ..., 18.842882, 18.01547 ,
        17.537033],
       [16.042591, 16.160843, 16.215212, ..., 22.155613, 20.98513 ,
        20.4385  ],
       [15.995697, 16.062302, 15.990265, ..., 18.994774, 18.024307,
        17.77761 ]], dtype=float32), start_date=Period('2017-12-28 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 2.5499048,  2.078394 ,  1.7244549, ..., 12.101336 , 11.205346 ,
        10.085979 ],
       [ 2.590744 ,  2.228137 ,  2.1118145, ..., 13.633425 , 13.092613 ,
        12.235607 ],
       [ 2.4682226,  2.05612  ,  1.9063663, ..., 11.007957 , 10.186221 ,
         9.978931 ],
       ...,
       [ 2.4298563,  1.976924 ,  1.7467289, ..., 13.358377 , 12.845721 ,
        11.833403 ],
       [ 2.5412378,  2.1860657,  2.066021 , ..., 12.012231 , 11.088394 ,
        10.1713705],
       [ 2.3704557,  1.8556376,  1.6402988, ..., 14.527246 , 14.114831 ,
        13.3574505]], dtype=float32), start_date=Period('2018-01-27 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[20.69953 , 19.380756, 18.243092, ..., 19.24809 , 18.0741  ,
        17.465914],
       [20.717422, 19.440773, 18.395763, ..., 18.727955, 17.273232,
        15.991974],
       [20.669518, 19.345486, 18.22572 , ..., 12.979285, 11.870073,
        11.464492],
       ...,
       [20.277308, 18.41261 , 16.734537, ..., 17.439985, 16.108057,
        14.898926],
       [20.595814, 19.145435, 17.705055, ..., 15.002973, 14.296913,
        13.546451],
       [20.753225, 19.434456, 18.339958, ..., 17.11148 , 16.448147,
        15.787052]], dtype=float32), start_date=Period('2018-02-26 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.956932, 31.361897, 30.274574, ..., 25.55267 , 23.757164,
        22.907352],
       [32.29669 , 29.581646, 27.643421, ..., 27.388477, 24.151564,
        21.850533],
       [32.71723 , 30.98276 , 29.348492, ..., 22.081512, 20.509903,
        18.941563],
       ...,
       [32.185555, 29.562037, 27.60202 , ..., 26.711895, 25.50364 ,
        23.930395],
       [31.884853, 29.562035, 27.97245 , ..., 21.995438, 20.288187,
        18.483427],
       [32.597397, 30.285473, 28.474712, ..., 33.0844  , 29.940088,
        27.636887]], dtype=float32), start_date=Period('2018-03-28 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.038715, 28.181229, 28.19723 , ..., 31.219017, 29.91898 ,
        29.402742],
       [27.967468, 28.02127 , 27.887478, ..., 33.3523  , 32.873875,
        33.215607],
       [27.915115, 27.935469, 27.80024 , ..., 28.155056, 27.433783,
        27.102226],
       ...,
       [27.986368, 28.03872 , 27.878761, ..., 36.055626, 35.306717,
        34.698875],
       [27.909298, 27.967468, 27.849682, ..., 27.595194, 26.702328,
        26.821571],
       [27.9093  , 27.906387, 27.70426 , ..., 30.583538, 30.016407,
        29.661587]], dtype=float32), start_date=Period('2018-04-27 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[35.63626 , 35.57094 , 35.49418 , ..., 32.90407 , 33.14659 ,
        33.207832],
       [35.660763, 35.62319 , 35.544807, ..., 40.354317, 39.726383,
        39.567154],
       [35.727722, 35.72936 , 35.73098 , ..., 25.884975, 25.161612,
        25.486498],
       ...,
       [35.69832 , 35.672184, 35.66076 , ..., 34.461243, 34.37305 ,
        34.51513 ],
       [35.649323, 35.535004, 35.365166, ..., 36.706764, 36.49936 ,
        36.42342 ],
       [35.61177 , 35.489285, 35.363533, ..., 31.438358, 31.794376,
        31.367317]], dtype=float32), start_date=Period('2018-05-27 20:00', 'h'))]"
MSE[mean],58.369108796296295
MSE[0.5],58.23005787037037
