metric,value
eval_data,datasets\Imputed\BM\BM_010\weather_BM_010_long_forward.csv
clean_data,datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
imputation_method,forward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[437.5663 , 438.97272, 440.22366, ..., 435.3843 , 439.1718 ,
        439.11963],
       [438.65225, 440.88376, 443.3165 , ..., 443.3889 , 442.79163,
        438.83218],
       [438.42444, 441.04453, 444.4599 , ..., 433.87622, 438.36002,
        438.8407 ],
       ...,
       [439.67218, 444.494  , 446.49234, ..., 481.86316, 486.3134 ,
        485.2828 ],
       [437.73666, 439.60617, 441.44696, ..., 445.4096 , 444.9688 ,
        446.1708 ],
       [437.61316, 439.6296 , 441.0754 , ..., 452.77057, 455.5216 ,
        458.38766]], dtype=float32), start_date=Period('2020-09-22 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[424.34064, 429.08676, 429.30002, ..., 429.24734, 431.65393,
        430.12164],
       [421.28064, 421.92288, 422.48676, ..., 414.81924, 417.02103,
        417.24265],
       [423.26373, 424.82208, 425.89856, ..., 418.84668, 420.81064,
        419.2669 ],
       ...,
       [422.57516, 424.32956, 425.8296 , ..., 429.75528, 433.00577,
        430.6015 ],
       [422.9071 , 425.1642 , 426.09808, ..., 415.93445, 420.2686 ,
        420.30142],
       [423.05066, 425.55215, 425.36948, ..., 433.10434, 435.09778,
        433.69394]], dtype=float32), start_date=Period('2020-09-27 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[423.6277 , 425.62524, 427.54303, ..., 431.50937, 434.57178,
        434.66898],
       [422.8958 , 423.82602, 424.70847, ..., 437.18402, 439.4883 ,
        440.11688],
       [423.5468 , 425.31802, 427.3648 , ..., 441.43835, 446.57028,
        446.27988],
       ...,
       [422.7779 , 423.6199 , 424.65048, ..., 424.0163 , 428.61407,
        428.7498 ],
       [423.23105, 424.3089 , 425.3302 , ..., 447.6608 , 451.15158,
        453.59766],
       [422.6902 , 423.26468, 423.79532, ..., 413.06387, 413.08215,
        413.25165]], dtype=float32), start_date=Period('2020-10-02 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[421.24045, 421.8675 , 422.26697, ..., 433.8995 , 433.94247,
        433.43954],
       [420.97305, 421.43262, 421.77042, ..., 425.65994, 425.88535,
        427.2907 ],
       [420.97705, 421.38647, 421.45688, ..., 418.09308, 419.42776,
        419.56628],
       ...,
       [421.03513, 421.46924, 421.66696, ..., 421.42078, 423.05313,
        422.5499 ],
       [421.1895 , 421.84125, 422.31393, ..., 443.27362, 443.54102,
        444.07895],
       [421.31125, 422.17627, 422.92072, ..., 425.97556, 426.26022,
        424.18613]], dtype=float32), start_date=Period('2020-10-07 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[446.3977 , 447.68298, 448.40173, ..., 437.82642, 439.96432,
        441.1002 ],
       [446.79233, 448.56238, 450.1267 , ..., 444.09918, 443.81308,
        442.5405 ],
       [447.67172, 449.08664, 449.90402, ..., 439.85016, 444.41626,
        445.07016],
       ...,
       [446.6373 , 447.3814 , 448.35663, ..., 441.8147 , 447.17987,
        447.01358],
       [447.00092, 447.71683, 448.7738 , ..., 433.6183 , 438.35773,
        438.7058 ],
       [448.258  , 449.9886 , 450.15488, ..., 448.17908, 451.63184,
        451.33728]], dtype=float32), start_date=Period('2020-10-12 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[421.9579 , 421.96408, 421.7751 , ..., 421.0728 , 421.82285,
        422.69327],
       [422.19888, 422.44315, 422.53766, ..., 422.90607, 423.71567,
        424.07047],
       [422.03732, 422.05075, 422.0468 , ..., 427.39133, 427.5352 ,
        427.9827 ],
       ...,
       [422.2342 , 422.3918 , 422.54453, ..., 423.0187 , 422.7695 ,
        423.09753],
       [422.17337, 422.52194, 422.5888 , ..., 421.44907, 422.83167,
        423.25403],
       [422.06512, 422.27933, 422.2842 , ..., 422.49405, 423.22644,
        423.72067]], dtype=float32), start_date=Period('2020-10-17 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[427.59036, 428.65683, 430.07324, ..., 429.1496 , 431.1183 ,
        432.44946],
       [427.69604, 428.48926, 428.76016, ..., 429.2053 , 431.31348,
        431.23065],
       [426.47058, 426.78766, 426.8674 , ..., 434.55862, 437.55426,
        436.9239 ],
       ...,
       [427.06476, 427.76462, 428.58875, ..., 424.75073, 427.274  ,
        427.45444],
       [426.93573, 427.58466, 428.07172, ..., 441.76395, 442.73138,
        441.60114],
       [426.95047, 427.4004 , 428.02313, ..., 436.2345 , 438.66547,
        438.0275 ]], dtype=float32), start_date=Period('2020-10-22 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[421.39914, 421.47723, 421.52563, ..., 415.89645, 415.9648 ,
        415.83127],
       [421.2211 , 421.2135 , 421.21634, ..., 425.02786, 426.54767,
        426.2097 ],
       [421.25244, 421.26218, 421.43997, ..., 420.98886, 421.28247,
        421.56683],
       ...,
       [421.73477, 422.28882, 422.4324 , ..., 430.09164, 430.98288,
        431.3945 ],
       [421.42618, 421.63034, 421.55484, ..., 422.42642, 422.5544 ,
        421.18988],
       [421.42096, 421.54013, 421.75375, ..., 418.33005, 419.89072,
        419.14343]], dtype=float32), start_date=Period('2020-10-27 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[421.21567, 421.03946, 421.05957, ..., 429.34518, 428.43552,
        428.25006],
       [421.2161 , 421.08936, 420.93243, ..., 421.86984, 422.01114,
        422.24945],
       [421.32812, 421.48798, 421.47748, ..., 422.9792 , 424.22128,
        424.53363],
       ...,
       [421.53958, 421.61365, 421.71225, ..., 425.87643, 425.94333,
        426.46106],
       [421.4091 , 421.53183, 421.63   , ..., 424.93402, 425.4728 ,
        425.83716],
       [421.38644, 421.47665, 421.7116 , ..., 425.9213 , 425.62653,
        425.0837 ]], dtype=float32), start_date=Period('2020-11-01 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[457.0739 , 456.29352, 455.6746 , ..., 423.111  , 423.2171 ,
        421.18573],
       [457.46988, 457.56598, 457.47757, ..., 426.49863, 427.35117,
        426.36603],
       [457.18155, 457.41605, 457.96576, ..., 427.40955, 428.82993,
        428.67105],
       ...,
       [456.2205 , 454.1177 , 453.32193, ..., 429.8339 , 430.54532,
        430.4456 ],
       [457.7005 , 457.92734, 457.8389 , ..., 434.54813, 435.85565,
        435.7456 ],
       [457.19693, 457.05084, 456.2743 , ..., 426.31656, 428.4436 ,
        429.20853]], dtype=float32), start_date=Period('2020-11-06 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[478.947  , 479.55505, 479.93427, ..., 468.0706 , 470.18243,
        471.04224],
       [480.88885, 481.97418, 481.38574, ..., 458.99548, 458.66205,
        458.85165],
       [480.34616, 480.79077, 483.06607, ..., 433.5403 , 434.4882 ,
        435.1041 ],
       ...,
       [479.8035 , 480.1435 , 480.17618, ..., 470.35245, 470.2282 ,
        472.56238],
       [479.88196, 479.07776, 480.02582, ..., 456.22162, 458.9301 ,
        456.70056],
       [479.94083, 479.1235 , 479.20853, ..., 441.6973 , 445.127  ,
        444.946  ]], dtype=float32), start_date=Period('2020-11-11 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[423.41534, 423.55728, 423.56854, ..., 441.06494, 441.61484,
        442.8621 ],
       [423.37665, 423.70242, 423.8927 , ..., 480.9609 , 479.98682,
        479.8578 ],
       [423.36856, 423.29602, 423.4944 , ..., 471.68768, 470.9781 ,
        471.3877 ],
       ...,
       [423.34924, 423.41534, 423.54437, ..., 486.88284, 485.3927 ,
        484.6863 ],
       [423.77176, 424.65393, 424.91034, ..., 467.16235, 468.69446,
        466.34308],
       [423.40887, 423.496  , 423.76532, ..., 473.552  , 474.47125,
        474.90347]], dtype=float32), start_date=Period('2020-11-16 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[423.79065, 423.7701 , 424.0547 , ..., 430.99466, 431.71588,
        431.76743],
       [424.12424, 424.37405, 425.076  , ..., 453.21637, 454.044  ,
        453.1152 ],
       [423.6294 , 423.49976, 423.50925, ..., 439.40427, 440.6202 ,
        440.06998],
       ...,
       [424.7503 , 425.46332, 425.87436, ..., 457.36246, 457.8059 ,
        455.86923],
       [424.08786, 424.23334, 424.52106, ..., 446.92096, 449.1936 ,
        448.32962],
       [423.71793, 423.90607, 423.9788 , ..., 428.35153, 428.55518,
        428.22546]], dtype=float32), start_date=Period('2020-11-21 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[448.59094, 448.0019 , 448.038  , ..., 442.80542, 443.29044,
        441.8114 ],
       [449.295  , 449.4292 , 449.4985 , ..., 435.39923, 434.92725,
        435.11642],
       [450.03226, 450.04703, 450.5019 , ..., 433.3702 , 434.71542,
        434.90463],
       ...,
       [449.6489 , 449.93716, 450.8543 , ..., 450.6598 , 449.91452,
        449.99442],
       [449.41003, 449.48157, 449.10114, ..., 441.97943, 442.90393,
        443.67502],
       [449.62457, 449.65332, 449.91357, ..., 431.69397, 431.8633 ,
        431.95676]], dtype=float32), start_date=Period('2020-11-26 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[450.38687, 450.8374 , 451.23956, ..., 437.28687, 438.42062,
        438.1017 ],
       [450.80444, 451.41757, 451.9472 , ..., 456.15134, 458.07098,
        457.23367],
       [450.13965, 450.1638 , 450.4484 , ..., 445.74213, 446.15033,
        446.61734],
       ...,
       [450.38907, 450.58466, 450.67035, ..., 434.26346, 436.2763 ,
        436.5181 ],
       [450.67258, 451.1231 , 451.43515, ..., 436.48633, 438.19757,
        436.84378],
       [450.41763, 450.72092, 450.97586, ..., 432.70868, 435.36087,
        435.69   ]], dtype=float32), start_date=Period('2020-12-01 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[483.4652 , 481.38824, 480.75388, ..., 451.158  , 451.0605 ,
        451.9721 ],
       [485.28378, 482.39383, 478.1459 , ..., 480.73978, 482.6335 ,
        480.3944 ],
       [484.24997, 481.83936, 479.33475, ..., 467.84085, 467.09604,
        466.92218],
       ...,
       [483.7613 , 482.1965 , 481.91925, ..., 448.47247, 449.713  ,
        448.95764],
       [484.44733, 484.36273, 484.63528, ..., 454.35452, 455.43765,
        453.62146],
       [485.00183, 486.1343 , 486.43506, ..., 465.2023 , 465.4279 ,
        467.4344 ]], dtype=float32), start_date=Period('2020-12-06 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[445.173  , 445.5178 , 445.8834 , ..., 457.59985, 457.50934,
        459.4625 ],
       [445.17468, 445.22473, 445.1625 , ..., 474.52542, 474.49445,
        474.40988],
       [445.33334, 445.3849 , 445.3352 , ..., 440.47525, 440.4468 ,
        441.83273],
       ...,
       [445.1515 , 445.48212, 445.77197, ..., 452.00128, 452.06558,
        451.5773 ],
       [445.16254, 445.01187, 444.9034 , ..., 468.51477, 468.04553,
        468.45166],
       [444.70197, 444.33655, 443.6991 , ..., 447.5874 , 449.54648,
        449.68045]], dtype=float32), start_date=Period('2020-12-11 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[435.996  , 436.24463, 436.33786, ..., 473.95282, 473.34906,
        472.29745],
       [436.20245, 436.45773, 436.6009 , ..., 459.3024 , 459.88232,
        461.22583],
       [436.0293 , 436.16473, 435.99268, ..., 452.09262, 452.7863 ,
        452.60315],
       ...,
       [435.86838, 436.05817, 435.89612, ..., 470.9678 , 470.38013,
        471.611  ],
       [436.1314 , 436.40335, 436.4688 , ..., 451.66058, 450.67584,
        450.63007],
       [436.06372, 436.23798, 436.3867 , ..., 452.5188 , 453.22968,
        452.86954]], dtype=float32), start_date=Period('2020-12-16 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[432.3708 , 432.45166, 432.30612, ..., 442.03546, 443.2333 ,
        442.85117],
       [432.3041 , 432.26974, 432.2091 , ..., 459.99765, 459.82587,
        460.36856],
       [432.4092 , 432.49612, 432.5325 , ..., 465.04715, 464.2599 ,
        464.69696],
       ...,
       [432.27985, 432.3324 , 432.18484, ..., 453.62277, 454.11646,
        455.56363],
       [432.51633, 432.6275 , 432.75888, ..., 449.15616, 448.8972 ,
        447.73288],
       [432.4577 , 432.5507 , 432.71844, ..., 450.6137 , 450.08618,
        450.54196]], dtype=float32), start_date=Period('2020-12-21 22:50', '10min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[423.58057, 423.58273, 423.56985, ..., 455.71652, 456.40863,
        456.2619 ],
       [423.6986 , 423.73724, 423.82095, ..., 440.67014, 440.39633,
        441.197  ],
       [423.6321 , 423.67715, 423.64282, ..., 442.68622, 442.01715,
        441.49878],
       ...,
       [423.67932, 423.83597, 424.05487, ..., 445.16656, 444.54767,
        444.88943],
       [423.56342, 423.5119 , 423.53766, ..., 430.92792, 432.01764,
        432.34494],
       [423.5398 , 423.61276, 423.68146, ..., 455.31036, 455.92282,
        455.32376]], dtype=float32), start_date=Period('2020-12-26 22:50', '10min'))]"
MSE[mean],318.2039236111111
MSE[0.5],318.9120138888889
