metric,value
eval_data,datasets\Imputed\BM\BM_020\traffic_BM_020_medium_linear.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,medium
prediction_length,480
windows,20
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00977668, 0.00695241, 0.00557534, ..., 0.02204744, 0.01571491,
        0.01142395],
       [0.00968833, 0.00656525, 0.00503492, ..., 0.02315168, 0.01645281,
        0.01244635],
       [0.00985723, 0.00690304, 0.00535709, ..., 0.02430399, 0.01840667,
        0.01387278],
       ...,
       [0.00958181, 0.00660424, 0.00496996, ..., 0.02334525, 0.01711536,
        0.01323101],
       [0.00971691, 0.00673934, 0.00518301, ..., 0.02448684, 0.01786884,
        0.01352591],
       [0.00956624, 0.00657825, 0.00524278, ..., 0.02352388, 0.01648269,
        0.01305823]], dtype=float32), start_date=Period('2017-05-28 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.01035387, 0.00709527, 0.0053021 , ..., 0.02921962, 0.02157047,
        0.01565742],
       [0.0099462 , 0.00672225, 0.00492374, ..., 0.0297975 , 0.02016165,
        0.01334869],
       [0.00996486, 0.00675154, 0.00515022, ..., 0.03027494, 0.0216624 ,
        0.01495135],
       ...,
       [0.00985296, 0.00666362, 0.0049051 , ..., 0.02994388, 0.02059662,
        0.01231356],
       [0.01003147, 0.00696737, 0.00514756, ..., 0.02570002, 0.01750521,
        0.01221098],
       [0.00996486, 0.00675954, 0.00480915, ..., 0.03186267, 0.02219595,
        0.01495268]], dtype=float32), start_date=Period('2017-06-17 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00860255, 0.00603286, 0.00443518, ..., 0.02592247, 0.01773476,
        0.01172538],
       [0.00865626, 0.00601675, 0.00457751, ..., 0.02406401, 0.01624719,
        0.01163141],
       [0.00885764, 0.00648934, 0.00512259, ..., 0.02423149, 0.01540003,
        0.01238861],
       ...,
       [0.00802523, 0.00521926, 0.00391159, ..., 0.02511054, 0.01731856,
        0.01207445],
       [0.00894894, 0.00620202, 0.00450501, ..., 0.02204376, 0.01584844,
        0.01344657],
       [0.00844948, 0.00625036, 0.00535352, ..., 0.02957832, 0.02207867,
        0.0164526 ]], dtype=float32), start_date=Period('2017-07-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0071073 , 0.00463573, 0.0039307 , ..., 0.02411398, 0.01604013,
        0.00935739],
       [0.00696413, 0.00442502, 0.00367949, ..., 0.02288157, 0.01556202,
        0.01057563],
       [0.0069101 , 0.00456008, 0.00404145, ..., 0.0206828 , 0.01446129,
        0.00956539],
       ...,
       [0.00693443, 0.00421433, 0.00332023, ..., 0.02183081, 0.01606579,
        0.00994895],
       [0.00701816, 0.00440611, 0.00331215, ..., 0.02373514, 0.01601312,
        0.0107512 ],
       [0.00722076, 0.00466543, 0.0036795 , ..., 0.02551658, 0.01723541,
        0.01161694]], dtype=float32), start_date=Period('2017-07-27 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00672352, 0.00464787, 0.00394961, ..., 0.01827189, 0.01271999,
        0.00781726],
       [0.00672079, 0.00448692, 0.00371233, ..., 0.01972293, 0.01326141,
        0.00904737],
       [0.0068899 , 0.00463693, 0.0039387 , ..., 0.02187905, 0.01505612,
        0.00891645],
       ...,
       [0.00690352, 0.00471604, 0.00373686, ..., 0.0187642 , 0.01282501,
        0.00891917],
       [0.00688716, 0.00474879, 0.00394688, ..., 0.01902605, 0.01296002,
        0.00828095],
       [0.00670168, 0.00442693, 0.00375868, ..., 0.02147742, 0.01425696,
        0.0096556 ]], dtype=float32), start_date=Period('2017-08-16 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00596463, 0.00369603, 0.00325332, ..., 0.02488324, 0.01868519,
        0.01443675],
       [0.00604161, 0.00378952, 0.0033578 , ..., 0.02568962, 0.0191829 ,
        0.01506783],
       [0.00612961, 0.0037785 , 0.00356679, ..., 0.02497743, 0.01960225,
        0.01367643],
       ...,
       [0.00631659, 0.00396275, 0.00362178, ..., 0.02632689, 0.02056262,
        0.01460999],
       [0.00595914, 0.00368227, 0.00322581, ..., 0.02576902, 0.02081285,
        0.01545005],
       [0.00603886, 0.00364653, 0.00314056, ..., 0.02597904, 0.02050143,
        0.01447799]], dtype=float32), start_date=Period('2017-09-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00823878, 0.00560974, 0.00460847, ..., 0.0287273 , 0.02113851,
        0.01484771],
       [0.00797866, 0.00567408, 0.0045945 , ..., 0.02927184, 0.02184401,
        0.01611328],
       [0.00817165, 0.00594256, 0.00494129, ..., 0.0247758 , 0.01968135,
        0.01545742],
       ...,
       [0.0080318 , 0.00572999, 0.0048546 , ..., 0.02643853, 0.01807666,
        0.01333182],
       [0.00799824, 0.00588383, 0.00500842, ..., 0.02780111, 0.02196008,
        0.01417367],
       [0.00790035, 0.00569924, 0.00463644, ..., 0.0231865 , 0.01774384,
        0.0122914 ]], dtype=float32), start_date=Period('2017-09-25 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00930744, 0.00695721, 0.00595281, ..., 0.02260503, 0.01589862,
        0.01049963],
       [0.00935012, 0.0070312 , 0.00598127, ..., 0.02237598, 0.01564681,
        0.00990781],
       [0.00923631, 0.00665276, 0.00539229, ..., 0.02156009, 0.01383292,
        0.00877253],
       ...,
       [0.00891479, 0.00642513, 0.00564836, ..., 0.02281772, 0.01504502,
        0.00983952],
       [0.00923631, 0.00679786, 0.00570527, ..., 0.02386266, 0.01539926,
        0.00974848],
       [0.00915948, 0.00685477, 0.005839  , ..., 0.02125208, 0.0148928 ,
        0.00942125]], dtype=float32), start_date=Period('2017-10-15 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00437818, 0.00358357, 0.00439278, ..., 0.0213942 , 0.0136315 ,
        0.01179836],
       [0.00449502, 0.00359527, 0.00424088, ..., 0.02311852, 0.01389003,
        0.00965117],
       [0.00453008, 0.00408603, 0.00507637, ..., 0.02419137, 0.01364026,
        0.00708334],
       ...,
       [0.00437525, 0.00383189, 0.00476379, ..., 0.02077123, 0.01365194,
        0.00947882],
       [0.00442783, 0.00362446, 0.00424671, ..., 0.02017528, 0.01262218,
        0.0090669 ],
       [0.00448041, 0.00391076, 0.0049011 , ..., 0.02184993, 0.0151053 ,
        0.0108387 ]], dtype=float32), start_date=Period('2017-11-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00531187, 0.00377036, 0.00445747, ..., 0.02024018, 0.01175432,
        0.00747778],
       [0.00534772, 0.00402727, 0.00452318, ..., 0.02023869, 0.01490609,
        0.01198435],
       [0.0053776 , 0.00374944, 0.00445446, ..., 0.02650637, 0.01743198,
        0.01237571],
       ...,
       [0.00545826, 0.00400337, 0.00486377, ..., 0.01963821, 0.01271031,
        0.00979306],
       [0.00542838, 0.00413779, 0.0047861 , ..., 0.02155915, 0.01500916,
        0.01073709],
       [0.00535669, 0.00399142, 0.00455004, ..., 0.02119766, 0.01389932,
        0.01060863]], dtype=float32), start_date=Period('2017-11-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00624189, 0.00484432, 0.00531317, ..., 0.02175355, 0.01585966,
        0.01011004],
       [0.0065184 , 0.00482027, 0.00526208, ..., 0.02230657, 0.0143118 ,
        0.00812938],
       [0.00622985, 0.00488939, 0.00561673, ..., 0.01876602, 0.01265875,
        0.00704437],
       ...,
       [0.00617877, 0.00475714, 0.00564379, ..., 0.01883666, 0.01215531,
        0.00813239],
       [0.00649435, 0.00526809, 0.00558369, ..., 0.01945881, 0.01088998,
        0.0056558 ],
       [0.00637715, 0.00525907, 0.00656048, ..., 0.02110435, 0.01377531,
        0.0098726 ]], dtype=float32), start_date=Period('2017-12-14 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00593031, 0.00302472, 0.00437802, ..., 0.02768886, 0.02116394,
        0.01584112],
       [0.00849298, 0.00746729, 0.00884201, ..., 0.01994231, 0.01661268,
        0.01413727],
       [0.00730808, 0.00580784, 0.00630689, ..., 0.01789553, 0.0150068 ,
        0.01332438],
       ...,
       [0.00798167, 0.00683046, 0.00741525, ..., 0.02315253, 0.01892581,
        0.01465623],
       [0.00771836, 0.00647529, 0.00766018, ..., 0.03139928, 0.02520083,
        0.02165075],
       [0.00716725, 0.00593643, 0.00649979, ..., 0.02526206, 0.02092665,
        0.01633559]], dtype=float32), start_date=Period('2018-01-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0048461 , 0.00366353, 0.00525376, ..., 0.02163999, 0.01629825,
        0.01382732],
       [0.00478386, 0.00381914, 0.0047434 , ..., 0.02615083, 0.02134124,
        0.0149881 ],
       [0.00489588, 0.00396539, 0.0048243 , ..., 0.0234714 , 0.01784802,
        0.01282214],
       ...,
       [0.00489278, 0.00406187, 0.00481186, ..., 0.02160577, 0.01509701,
        0.01153067],
       [0.00474339, 0.00369155, 0.00470296, ..., 0.02073596, 0.01608196,
        0.01415409],
       [0.00481808, 0.00378492, 0.00524443, ..., 0.02177693, 0.01815611,
        0.01339319]], dtype=float32), start_date=Period('2018-01-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0100689 , 0.00732555, 0.00615616, ..., 0.02839201, 0.02309339,
        0.01600592],
       [0.01003728, 0.0072655 , 0.00609295, ..., 0.02951913, 0.02373893,
        0.0158558 ],
       [0.00982869, 0.00674088, 0.0056157 , ..., 0.02917147, 0.022869  ,
        0.01582893],
       ...,
       [0.00991402, 0.00718964, 0.00610243, ..., 0.02822055, 0.02174227,
        0.01614816],
       [0.00957268, 0.00693681, 0.00544822, ..., 0.0277283 , 0.02178494,
        0.01471801],
       [0.00962956, 0.00689256, 0.00571369, ..., 0.02668928, 0.02136933,
        0.0163204 ]], dtype=float32), start_date=Period('2018-02-12 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00921245, 0.00763792, 0.00698618, ..., 0.0239026 , 0.01586867,
        0.00960285],
       [0.00897688, 0.00707328, 0.00667966, ..., 0.02245069, 0.01406345,
        0.0089995 ],
       [0.0092673 , 0.00725399, 0.00703134, ..., 0.02220225, 0.01630102,
        0.01049981],
       ...,
       [0.0092318 , 0.00726364, 0.00671192, ..., 0.02259588, 0.01450386,
        0.00926729],
       [0.00915114, 0.0071604 , 0.00666676, ..., 0.02175538, 0.01412959,
        0.00819931],
       [0.00925116, 0.00719266, 0.00661191, ..., 0.02340895, 0.01499915,
        0.00990614]], dtype=float32), start_date=Period('2018-03-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.04226642, 0.0425893 , 0.04209225, ..., 0.02513153, 0.01904293,
        0.01541014],
       [0.04231175, 0.04262986, 0.04210657, ..., 0.01715416, 0.01316748,
        0.00998321],
       [0.04233879, 0.04245172, 0.04170655, ..., 0.02290158, 0.01831924,
        0.01494411],
       ...,
       [0.04242071, 0.04280721, 0.04238332, ..., 0.01769575, 0.01130972,
        0.00708525],
       [0.04248035, 0.04280561, 0.04232209, ..., 0.02543452, 0.01862781,
        0.01424905],
       [0.04223779, 0.04250103, 0.04197694, ..., 0.02356564, 0.01797409,
        0.01372893]], dtype=float32), start_date=Period('2018-03-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.05648234, 0.05658694, 0.05665885, ..., 0.02336705, 0.02268536,
        0.0219726 ],
       [0.05640548, 0.05640222, 0.05650193, ..., 0.01040343, 0.0090989 ,
        0.00897711],
       [0.0563123 , 0.05633192, 0.05640548, ..., 0.02055691, 0.01974525,
        0.01858457],
       ...,
       [0.05636788, 0.05636788, 0.05645125, ..., 0.0147948 , 0.01457656,
        0.01476578],
       [0.05622891, 0.05607689, 0.05583823, ..., 0.01246527, 0.01131889,
        0.01157064],
       [0.05629432, 0.05631884, 0.05642345, ..., 0.0342997 , 0.03437245,
        0.03386055]], dtype=float32), start_date=Period('2018-04-13 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.07126716, 0.07133836, 0.07127363, ..., 0.02309402, 0.02351389,
        0.02336989],
       [0.07110859, 0.07105035, 0.07095651, ..., 0.04029556, 0.03970671,
        0.0395419 ],
       [0.07110859, 0.07099535, 0.07089826, ..., 0.03137812, 0.03094127,
        0.03049227],
       ...,
       [0.07090149, 0.07060054, 0.0702187 , ..., 0.02810412, 0.02801271,
        0.02742133],
       [0.07100505, 0.07089179, 0.07071058, ..., 0.04168202, 0.04096419,
        0.04019012],
       [0.07109889, 0.07103093, 0.07091444, ..., 0.03359355, 0.03389753,
        0.03414569]], dtype=float32), start_date=Period('2018-05-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.03678616, 0.03652427, 0.03618885, ..., 0.0510764 , 0.05172531,
        0.0519572 ],
       [0.03690441, 0.03667439, 0.0364818 , ..., 0.05866337, 0.05903466,
        0.05974385],
       [0.03687926, 0.03670175, 0.03651645, ..., 0.06143235, 0.06168623,
        0.06166298],
       ...,
       [0.03678751, 0.03646175, 0.03609918, ..., 0.05398934, 0.05386698,
        0.05376425],
       [0.03683192, 0.03665712, 0.03640807, ..., 0.07421219, 0.07406063,
        0.07416262],
       [0.03684945, 0.03666766, 0.03645455, ..., 0.02082573, 0.02067889,
        0.02043479]], dtype=float32), start_date=Period('2018-05-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00817333, 0.00778641, 0.00767401, ..., 0.06331087, 0.06276773,
        0.06283386],
       [0.00808074, 0.00755825, 0.00725402, ..., 0.0311538 , 0.03118661,
        0.0311584 ],
       [0.00807742, 0.0075715 , 0.0073367 , ..., 0.05461977, 0.05453958,
        0.05459828],
       ...,
       [0.00807081, 0.00764754, 0.00745904, ..., 0.05892852, 0.05896738,
        0.0591071 ],
       [0.00813033, 0.00761776, 0.00735985, ..., 0.04141366, 0.04119562,
        0.04067789],
       [0.00800467, 0.00746565, 0.0071912 , ..., 0.07116451, 0.07130174,
        0.0710777 ]], dtype=float32), start_date=Period('2018-06-12 02:00', 'h'))]"
MSE[mean],0.00015812192112207412
MSE[0.5],0.00015969979266325634
