metric,value
eval_data,datasets\Imputed\BM\BM_030\ETTm2_BM_030_medium_mean.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,medium
prediction_length,480
windows,20
imputation_method,mean
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[16.851498, 16.778156, 16.677052, ..., 22.556057, 22.506786,
        22.384865],
       [16.900894, 16.889732, 16.871914, ..., 22.522293, 22.311459,
        21.919426],
       [16.903708, 16.916462, 16.907585, ..., 15.669223, 15.450244,
        15.275892],
       ...,
       [16.90014 , 16.90868 , 16.935001, ..., 20.059296, 19.788437,
        19.428291],
       [16.904333, 16.91665 , 16.925497, ..., 20.852118, 20.826357,
        20.639156],
       [16.887295, 16.876228, 16.869537, ..., 19.278107, 19.081026,
        19.080025]], dtype=float32), start_date=Period('2016-08-11 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[25.946215, 25.45681 , 25.081106, ..., 23.505123, 23.37239 ,
        23.253004],
       [25.863163, 25.315426, 24.935764, ..., 20.240454, 20.127   ,
        20.247004],
       [25.902714, 25.405396, 25.071217, ..., 16.797543, 16.8735  ,
        16.846512],
       ...,
       [25.88491 , 25.366837, 25.003988, ..., 21.867352, 21.481018,
        21.399698],
       [25.839434, 25.3174  , 24.990145, ..., 17.094559, 17.06937 ,
        17.056053],
       [25.89479 , 25.393532, 25.027712, ..., 18.48197 , 18.455929,
        18.274103]], dtype=float32), start_date=Period('2016-08-12 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.568764, 32.019722, 31.499474, ..., 29.32061 , 28.81647 ,
        28.287006],
       [32.604446, 32.062317, 31.615726, ..., 31.389555, 30.927422,
        30.850878],
       [32.627464, 32.10606 , 31.668673, ..., 23.268602, 23.084442,
        23.124441],
       ...,
       [32.500854, 31.981747, 31.554728, ..., 17.434206, 16.951178,
        16.911793],
       [32.574512, 32.09454 , 31.707808, ..., 26.18526 , 25.888878,
        25.75018 ],
       [32.521576, 31.959877, 31.478756, ..., 21.590576, 21.218008,
        21.216352]], dtype=float32), start_date=Period('2016-08-12 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[34.706028, 34.38864 , 34.152817, ..., 25.350285, 25.18984 ,
        25.171831],
       [34.797806, 34.55179 , 34.43962 , ..., 20.551012, 20.304844,
        20.290283],
       [34.767212, 34.523743, 34.405197, ..., 15.941924, 15.91456 ,
        15.960686],
       ...,
       [34.783783, 34.545418, 34.386086, ..., 20.62599 , 20.500652,
        20.927687],
       [34.823296, 34.620625, 34.52758 , ..., 23.575947, 23.352324,
        23.385067],
       [34.830948, 34.595135, 34.45874 , ..., 25.03321 , 24.803455,
        24.718048]], dtype=float32), start_date=Period('2016-08-12 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[20.10346 , 19.668531, 19.312653, ..., 21.18618 , 21.156021,
        21.185387],
       [20.145683, 19.749168, 19.40154 , ..., 21.945877, 21.702698,
        21.537458],
       [20.145683, 19.733929, 19.383444, ..., 18.243744, 18.104374,
        18.007547],
       ...,
       [20.090763, 19.673294, 19.30313 , ..., 23.13101 , 22.956308,
        22.571554],
       [20.027586, 19.560593, 19.168205, ..., 17.468805, 17.694525,
        17.42817 ],
       [20.084726, 19.641865, 19.220903, ..., 21.54698 , 21.460312,
        21.292213]], dtype=float32), start_date=Period('2016-08-13 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[24.3789  , 24.233076, 24.099058, ..., 29.856403, 29.72252 ,
        29.643467],
       [24.452267, 24.373913, 24.331589, ..., 32.8796  , 32.55828 ,
        32.199986],
       [24.360949, 24.193773, 24.027845, ..., 33.00009 , 32.602913,
        32.25418 ],
       ...,
       [24.342974, 24.151922, 23.963097, ..., 34.344658, 34.24903 ,
        33.859497],
       [24.394943, 24.251518, 24.131866, ..., 24.327766, 24.204977,
        24.103968],
       [24.457008, 24.336298, 24.234077, ..., 30.8873  , 30.676912,
        30.14712 ]], dtype=float32), start_date=Period('2016-08-13 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.120155, 27.711876, 27.37123 , ..., 30.904896, 30.474277,
        30.152866],
       [28.078894, 27.629972, 27.2583  , ..., 36.71078 , 36.333527,
        36.21005 ],
       [28.029873, 27.52604 , 27.098526, ..., 30.662285, 30.18265 ,
        30.010777],
       ...,
       [28.089443, 27.680851, 27.305458, ..., 21.927088, 21.635925,
        21.358568],
       [28.053453, 27.57692 , 27.168951, ..., 32.63419 , 32.335117,
        32.207916],
       [28.171347, 27.756546, 27.422108, ..., 34.484478, 33.92604 ,
        33.612076]], dtype=float32), start_date=Period('2016-08-13 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.53073 , 33.35392 , 33.14289 , ..., 25.889484, 25.658182,
        25.681414],
       [33.56723 , 33.39784 , 33.178253, ..., 26.822733, 26.426363,
        25.993208],
       [33.53415 , 33.372173, 33.22046 , ..., 31.884413, 31.690779,
        31.510548],
       ...,
       [33.57579 , 33.409817, 33.28377 , ..., 30.4477  , 29.94522 ,
        29.524588],
       [33.51533 , 33.336243, 33.112663, ..., 23.154978, 23.122545,
        23.112831],
       [33.56951 , 33.437195, 33.25696 , ..., 21.448208, 21.688469,
        21.647047]], dtype=float32), start_date=Period('2016-08-14 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.868996, 33.434822, 33.045094, ..., 34.51114 , 34.21656 ,
        34.32254 ],
       [33.84108 , 33.437103, 33.033127, ..., 26.071201, 25.876978,
        26.019262],
       [33.910023, 33.511177, 33.14367 , ..., 28.127892, 27.898762,
        27.624842],
       ...,
       [33.898624, 33.487244, 33.173294, ..., 32.92943 , 32.522606,
        32.20011 ],
       [33.890644, 33.511745, 33.144238, ..., 33.36531 , 33.016605,
        32.865044],
       [33.863297, 33.44964 , 33.05706 , ..., 31.654263, 31.44857 ,
        31.405552]], dtype=float32), start_date=Period('2016-08-14 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.586916, 31.327847, 31.160175, ..., 34.197212, 33.806973,
        33.154102],
       [31.607096, 31.353365, 31.146822, ..., 30.79338 , 30.63877 ,
        30.56013 ],
       [31.52727 , 31.2314  , 30.95838 , ..., 32.79562 , 32.646942,
        32.654366],
       ...,
       [31.617779, 31.35366 , 31.162848, ..., 33.73783 , 33.560368,
        33.21761 ],
       [31.525486, 31.210625, 30.935823, ..., 30.223602, 30.048513,
        29.65056 ],
       [31.436165, 31.141777, 30.90496 , ..., 28.811771, 28.682013,
        28.698631]], dtype=float32), start_date=Period('2016-08-14 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[27.65171 , 27.563614, 27.460663, ..., 36.99867 , 37.016853,
        36.863197],
       [27.71855 , 27.680265, 27.63942 , ..., 29.589903, 29.654438,
        29.378847],
       [27.707924, 27.664387, 27.600363, ..., 31.209896, 31.188639,
        31.285442],
       ...,
       [27.655426, 27.559772, 27.454773, ..., 33.59901 , 33.33267 ,
        33.13829 ],
       [27.665028, 27.606382, 27.510859, ..., 27.899866, 28.014742,
        27.92983 ],
       [27.654016, 27.569632, 27.487043, ..., 29.26719 , 29.458364,
        29.435394]], dtype=float32), start_date=Period('2016-08-15 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.051542, 30.91805 , 30.719141, ..., 33.73035 , 33.54559 ,
        33.364456],
       [31.126755, 31.05396 , 30.88274 , ..., 30.20252 , 30.215397,
        30.511887],
       [31.077177, 30.955051, 30.758562, ..., 38.044212, 37.80673 ,
        37.687263],
       ...,
       [31.125786, 31.045494, 30.870771, ..., 32.050323, 31.928923,
        31.729649],
       [31.066536, 30.94562 , 30.757954, ..., 30.768475, 30.44399 ,
        30.222229],
       [31.117079, 31.010675, 30.83631 , ..., 36.058743, 35.877846,
        35.510017]], dtype=float32), start_date=Period('2016-08-15 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[39.46816 , 39.093567, 38.769623, ..., 30.904593, 30.964844,
        31.08408 ],
       [39.556076, 39.131798, 38.64253 , ..., 31.427437, 31.357426,
        31.489859],
       [39.558937, 39.1939  , 38.91583 , ..., 35.665874, 36.08872 ,
        36.265984],
       ...,
       [39.549385, 39.157593, 38.845116, ..., 43.325867, 42.6775  ,
        42.20353 ],
       [39.513073, 39.03528 , 38.563217, ..., 35.64437 , 35.70601 ,
        36.166603],
       [39.56276 , 39.176704, 38.892895, ..., 30.723122, 31.038212,
        31.377592]], dtype=float32), start_date=Period('2016-08-15 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.351898, 26.348082, 26.379547, ..., 26.685793, 26.688118,
        26.723396],
       [26.26417 , 26.223656, 26.301361, ..., 34.927   , 34.713417,
        35.158096],
       [26.290874, 26.277525, 26.355236, ..., 31.038239, 31.777603,
        32.209824],
       ...,
       [26.280863, 26.310892, 26.353327, ..., 39.46317 , 39.90892 ,
        39.250782],
       [26.306126, 26.350466, 26.3662  , ..., 27.919533, 27.741262,
        27.724756],
       [26.292305, 26.33569 , 26.359528, ..., 32.989174, 32.12747 ,
        31.544044]], dtype=float32), start_date=Period('2016-08-16 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.230984, 26.213007, 26.20222 , ..., 26.983498, 27.125057,
        27.068884],
       [26.410744, 26.285358, 26.284908, ..., 26.998106, 26.839914,
        26.950018],
       [26.206264, 26.108746, 26.158628, ..., 26.012352, 26.054821,
        26.162899],
       ...,
       [26.32176 , 26.478601, 26.224243, ..., 26.571175, 26.657684,
        26.54466 ],
       [26.266933, 26.207165, 26.312775, ..., 29.367996, 29.36047 ,
        29.0023  ],
       [26.270535, 26.260193, 26.228735, ..., 26.952265, 26.70914 ,
        26.880585]], dtype=float32), start_date=Period('2016-08-16 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.202618, 26.227926, 26.128803, ..., 26.347717, 25.78631 ,
        25.97675 ],
       [26.216963, 26.26842 , 26.162127, ..., 26.153479, 26.02209 ,
        26.352566],
       [26.21949 , 26.212742, 26.186169, ..., 26.194185, 26.332323,
        26.550388],
       ...,
       [26.197557, 26.201353, 26.150316, ..., 26.443886, 26.211054,
        26.155167],
       [26.178152, 26.226664, 26.128801, ..., 26.792288, 26.855768,
        26.77668 ],
       [26.23341 , 26.208523, 26.134287, ..., 26.14167 , 26.13893 ,
        26.080719]], dtype=float32), start_date=Period('2016-08-16 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.256912, 26.26689 , 26.312494, ..., 26.968695, 26.922682,
        27.366222],
       [26.282158, 26.233906, 26.50449 , ..., 26.721933, 26.395359,
        26.544598],
       [26.275032, 26.289284, 26.293968, ..., 27.656555, 27.309622,
        27.077927],
       ...,
       [26.206217, 26.224337, 26.217619, ..., 26.44178 , 26.480667,
        26.061455],
       [26.242252, 26.243881, 26.226984, ..., 26.462955, 26.185244,
        26.593258],
       [26.259764, 26.362171, 26.258947, ..., 26.730076, 26.819458,
        26.727837]], dtype=float32), start_date=Period('2016-08-17 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.288807, 26.269735, 26.208897, ..., 26.701902, 26.69599 ,
        26.516905],
       [26.462742, 27.53138 , 26.468082, ..., 26.535786, 26.292622,
        26.432322],
       [26.26039 , 26.245705, 26.19917 , ..., 26.610262, 26.959942,
        27.087246],
       ...,
       [26.24208 , 26.216715, 26.137375, ..., 26.69685 , 26.29205 ,
        26.373104],
       [26.196117, 26.188297, 26.133375, ..., 25.929495, 25.633692,
        26.133753],
       [26.19383 , 26.309023, 26.172852, ..., 26.08245 , 26.02085 ,
        25.85416 ]], dtype=float32), start_date=Period('2016-08-17 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[26.199566, 26.223389, 26.178356, ..., 25.652409, 27.02912 ,
        26.623182],
       [26.23193 , 26.212421, 26.206347, ..., 25.444273, 26.150875,
        26.049347],
       [26.223265, 26.187977, 26.180368, ..., 26.39429 , 26.285337,
        26.271444],
       ...,
       [26.214993, 26.22934 , 26.184908, ..., 26.06388 , 27.70976 ,
        28.163315],
       [26.21547 , 26.210348, 26.188557, ..., 26.459051, 26.585873,
        26.41673 ],
       [26.21157 , 26.242296, 26.218952, ..., 25.421177, 27.665869,
        26.535858]], dtype=float32), start_date=Period('2016-08-17 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.985413, 27.844086, 26.47441 , ..., 26.181742, 26.376562,
        25.687145],
       [26.287674, 31.336384, 26.434504, ..., 26.633034, 27.115067,
        27.352776],
       [40.192814, 31.447277, 26.857487, ..., 26.025225, 26.433044,
        26.696869],
       ...,
       [36.592316, 26.532747, 26.265131, ..., 25.648357, 25.744722,
        24.572783],
       [26.806322, 28.727365, 26.367447, ..., 26.056791, 25.614334,
        26.386902],
       [26.38734 , 27.236376, 26.355328, ..., 26.825096, 26.558182,
        25.756193]], dtype=float32), start_date=Period('2016-08-18 01:20', 'min'))]"
MSE[mean],69.25610677083333
MSE[0.5],71.031015625
