metric,value
eval_data,datasets\Imputed\BM\BM_030\electricity_BM_030_short_mean.csv
clean_data,datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
imputation_method,mean
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3287.4377, 3242.5105, 3229.5383, ..., 2931.878 , 2896.0625,
        2854.3413],
       [3336.6997, 3346.0728, 3391.1145, ..., 2878.0496, 2857.5474,
        2820.9302],
       [3283.1138, 3228.2725, 3248.5217, ..., 2894.2488, 2818.2305,
        2786.2542],
       ...,
       [3283.0715, 3233.0396, 3247.9524, ..., 2892.1394, 2831.73  ,
        2826.4988],
       [3317.5793, 3279.5068, 3296.0435, ..., 3166.935 , 3073.621 ,
        3058.7717],
       [3251.2217, 3164.2773, 3206.7793, ..., 2819.1582, 2762.377 ,
        2755.374 ]], dtype=float32), start_date=Period('2019-05-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2652.5596, 2652.728 , 2699.527 , ..., 3221.2996, 3214.1367,
        3155.469 ],
       [2658.2727, 2666.6753, 2715.9111, ..., 3170.7817, 3082.37  ,
        3033.386 ],
       [2650.711 , 2649.787 , 2703.9805, ..., 3152.9692, 3104.7202,
        3026.7485],
       ...,
       [2669.4482, 2671.7163, 2730.6997, ..., 3321.621 , 3187.25  ,
        3089.5122],
       [2655.6682, 2655.2483, 2711.963 , ..., 3266.9863, 3174.6677,
        3109.5093],
       [2646.5942, 2648.1907, 2687.8489, ..., 3112.6602, 3031.1174,
        2961.38  ]], dtype=float32), start_date=Period('2019-05-25 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3187.929 , 3180.5657, 3243.8945, ..., 3412.4849, 3395.466 ,
        3341.026 ],
       [3137.9084, 3115.2134, 3188.4922, ..., 3247.1277, 3223.369 ,
        3149.4644],
       [3200.4028, 3134.1538, 3179.8564, ..., 3275.5798, 3226.8315,
        3196.398 ],
       ...,
       [3139.9941, 3017.3835, 3057.7668, ..., 3384.9946, 3289.1592,
        3206.9111],
       [3171.3042, 3121.1792, 3190.2654, ..., 3285.801 , 3184.0076,
        3181.609 ],
       [3158.559 , 3128.1045, 3183.3193, ..., 3271.5332, 3175.2676,
        3098.6511]], dtype=float32), start_date=Period('2019-05-27 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3371.7017, 3372.3118, 3377.1162, ..., 3025.525 , 3038.4585,
        3060.0552],
       [3376.7197, 3375.8757, 3380.624 , ..., 3200.3113, 3171.2717,
        3183.6768],
       [3375.2046, 3369.7292, 3374.5894, ..., 3141.2358, 3087.2646,
        3117.2803],
       ...,
       [3374.6963, 3379.7192, 3382.2712, ..., 3218.1865, 3216.3562,
        3234.4553],
       [3378.5576, 3377.94  , 3387.4849, ..., 3174.8103, 3180.2805,
        3164.6626],
       [3372.2153, 3372.368 , 3383.5474, ..., 3214.8516, 3194.1497,
        3178.7756]], dtype=float32), start_date=Period('2019-05-29 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3321.1328, 3313.6057, 3316.9658, ..., 3089.8486, 3081.2517,
        3035.1807],
       [3310.6594, 3290.3381, 3222.2202, ..., 3238.9795, 3291.8818,
        3332.5876],
       [3322.8079, 3316.6025, 3324.3416, ..., 2996.5964, 3044.8267,
        3016.3728],
       ...,
       [3323.3225, 3334.1492, 3354.208 , ..., 3002.852 , 2987.6768,
        2908.954 ],
       [3331.798 , 3334.1995, 3338.175 , ..., 3085.9539, 3089.889 ,
        3103.3289],
       [3343.1797, 3365.7183, 3412.1692, ..., 2986.7483, 2975.5889,
        2976.7593]], dtype=float32), start_date=Period('2019-05-31 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3333.7656, 3345.2173, 3376.676 , ..., 3372.2698, 3353.2947,
        3345.7913],
       [3322.0925, 3339.9346, 3353.3955, ..., 3160.6938, 3106.1055,
        3084.3103],
       [3313.1187, 3326.9473, 3357.5955, ..., 3268.4207, 3236.2517,
        3202.5117],
       ...,
       [3331.8018, 3364.4692, 3389.9028, ..., 3332.104 , 3289.38  ,
        3284.1929],
       [3335.327 , 3345.046 , 3361.755 , ..., 3316.5784, 3285.1396,
        3286.5095],
       [3321.2266, 3325.658 , 3347.7854, ..., 3200.5981, 3163.393 ,
        3099.8208]], dtype=float32), start_date=Period('2019-06-02 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3308.8909, 3298.88  , 3341.1003, ..., 3257.2725, 3192.3784,
        3160.2876],
       [3328.9229, 3309.3162, 3342.238 , ..., 3207.138 , 3162.642 ,
        3106.038 ],
       [3314.9746, 3293.9832, 3324.9065, ..., 3087.9548, 3102.5164,
        3033.0322],
       ...,
       [3311.3638, 3307.9807, 3333.3943, ..., 3220.651 , 3204.6648,
        3147.0715],
       [3251.3667, 3170.0217, 3205.09  , ..., 3272.1902, 3228.5845,
        3202.3896],
       [3322.2158, 3317.0125, 3339.923 , ..., 3248.2903, 3245.8765,
        3212.3018]], dtype=float32), start_date=Period('2019-06-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3314.6313, 3272.9226, 3265.4348, ..., 2989.2012, 2962.1792,
        2916.1917],
       [3340.0488, 3340.285 , 3351.83  , ..., 3258.66  , 3216.209 ,
        3250.671 ],
       [3340.2705, 3342.5688, 3346.3176, ..., 3154.205 , 3144.1633,
        3119.3386],
       ...,
       [3335.9966, 3331.226 , 3338.5696, ..., 3109.8557, 3076.319 ,
        3072.7344],
       [3319.3054, 3305.0137, 3294.625 , ..., 3284.7954, 3253.7065,
        3218.175 ],
       [3285.3447, 3272.9612, 3281.1428, ..., 3192.7722, 3168.641 ,
        3152.4126]], dtype=float32), start_date=Period('2019-06-06 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3340.2292, 3329.4658, 3323.3032, ..., 3340.9265, 3310.4329,
        3318.4675],
       [3234.112 , 3244.941 , 3255.3984, ..., 3247.5283, 3222.7842,
        3207.8813],
       [3347.6711, 3335.3508, 3347.6946, ..., 3246.4746, 3232.0234,
        3237.687 ],
       ...,
       [3351.2087, 3343.2446, 3348.231 , ..., 3304.7783, 3265.31  ,
        3245.9854],
       [3344.002 , 3326.7751, 3344.9897, ..., 3249.7676, 3217.5344,
        3211.118 ],
       [3345.4978, 3330.0303, 3345.8694, ..., 3284.494 , 3240.6226,
        3239.9265]], dtype=float32), start_date=Period('2019-06-08 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3330.9856, 3324.2468, 3335.1067, ..., 3317.7266, 3285.713 ,
        3255.9292],
       [3329.237 , 3323.476 , 3336.4224, ..., 3264.2563, 3233.0063,
        3216.0515],
       [3338.617 , 3335.4216, 3356.8313, ..., 3277.602 , 3258.0063,
        3236.0515],
       ...,
       [3342.0051, 3336.7515, 3344.9421, ..., 3223.514 , 3203.6643,
        3185.1306],
       [3339.0117, 3334.4722, 3350.1724, ..., 3259.2468, 3231.1453,
        3225.732 ],
       [3350.72  , 3356.0254, 3385.3481, ..., 3277.2356, 3253.589 ,
        3230.3184]], dtype=float32), start_date=Period('2019-06-10 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3321.7668, 3289.5676, 3257.3872, ..., 3167.839 , 3149.028 ,
        3145.12  ],
       [3326.2173, 3323.1833, 3334.2998, ..., 3074.2893, 3032.8716,
        3058.5076],
       [3332.3176, 3317.008 , 3326.264 , ..., 3171.5225, 3128.74  ,
        3141.1746],
       ...,
       [3320.3364, 3280.0408, 3256.8916, ..., 3263.67  , 3282.032 ,
        3248.1125],
       [3330.0503, 3317.742 , 3315.5776, ..., 3228.666 , 3202.0015,
        3179.4321],
       [3330.4524, 3315.858 , 3341.0732, ..., 3244.111 , 3259.6497,
        3241.2688]], dtype=float32), start_date=Period('2019-06-12 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3326.1992, 3314.7017, 3312.1309, ..., 3375.143 , 3325.1978,
        3302.6226],
       [3339.9722, 3339.6724, 3363.3103, ..., 3200.0308, 3243.9993,
        3254.2   ],
       [3316.0403, 3250.655 , 3326.01  , ..., 3330.8333, 3298.981 ,
        3270.8162],
       ...,
       [3249.1782, 3132.3289, 3054.9246, ..., 3361.6902, 3247.184 ,
        3152.416 ],
       [3321.076 , 3328.1885, 3341.0178, ..., 3348.3774, 3322.3867,
        3285.854 ],
       [3319.8943, 3256.1477, 3224.623 , ..., 3398.6758, 3323.529 ,
        3251.052 ]], dtype=float32), start_date=Period('2019-06-14 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3313.6624, 3308.5754, 3315.028 , ..., 3283.2463, 3203.414 ,
        3188.0889],
       [3308.8916, 3323.566 , 3317.5762, ..., 3286.5276, 3254.4846,
        3256.776 ],
       [3297.7646, 3289.3872, 3285.9502, ..., 3099.2654, 3016.6921,
        2932.6802],
       ...,
       [3326.2698, 3335.7493, 3347.7698, ..., 3323.7307, 3275.0981,
        3235.5483],
       [3342.1719, 3344.941 , 3350.192 , ..., 3238.6738, 3240.9194,
        3226.5112],
       [3288.6448, 3287.9758, 3319.84  , ..., 3365.302 , 3255.4194,
        3271.9817]], dtype=float32), start_date=Period('2019-06-16 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3304.3652, 3282.1282, 3302.9155, ..., 3124.858 , 3124.7864,
        3127.2742],
       [3318.9692, 3304.222 , 3312.6023, ..., 3340.101 , 3269.4927,
        3260.07  ],
       [3305.43  , 3307.2375, 3309.2644, ..., 3251.05  , 3200.3298,
        3180.7324],
       ...,
       [3322.8796, 3300.41  , 3314.0833, ..., 3261.1438, 3220.5176,
        3186.1016],
       [3353.1711, 3301.8774, 3313.7117, ..., 3364.7783, 3366.74  ,
        3340.0942],
       [3325.6223, 3325.43  , 3345.553 , ..., 3328.222 , 3315.2825,
        3315.1704]], dtype=float32), start_date=Period('2019-06-18 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3206.7837, 2970.0142, 3021.0151, ..., 3040.7708, 2957.4497,
        2866.9988],
       [3322.4946, 3269.0647, 3240.8513, ..., 2854.0322, 2794.8618,
        2772.6685],
       [3320.3232, 3310.6072, 3315.7405, ..., 3124.8955, 3098.4382,
        3082.7805],
       ...,
       [3326.0203, 3328.2964, 3352.2944, ..., 3068.9055, 2982.8933,
        2950.809 ],
       [3333.9387, 3350.1543, 3342.9546, ..., 3061.6008, 3014.488 ,
        2975.7285],
       [3328.1826, 3321.9092, 3332.6946, ..., 3202.1614, 3185.9097,
        3188.6184]], dtype=float32), start_date=Period('2019-06-20 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3331.3643, 3327.1528, 3354.2153, ..., 3253.681 , 3225.8901,
        3166.0845],
       [3342.2942, 3341.596 , 3370.4675, ..., 3262.7341, 3194.264 ,
        3238.7617],
       [3027.8916, 2816.615 , 2832.5103, ..., 3090.5996, 3124.947 ,
        3224.8967],
       ...,
       [3302.1567, 3301.7854, 3325.084 , ..., 3274.4136, 3235.5137,
        3229.5618],
       [3322.9912, 3300.2131, 3320.8164, ..., 3188.3896, 3132.238 ,
        3115.479 ],
       [3088.6472, 3077.8662, 2843.3433, ..., 3194.5403, 3130.545 ,
        3140.9805]], dtype=float32), start_date=Period('2019-06-22 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3330.4734, 3332.6064, 3348.205 , ..., 3281.145 , 3269.5627,
        3231.0647],
       [3332.3708, 3341.1262, 3356.5654, ..., 3286.7283, 3314.7566,
        3269.7156],
       [3329.487 , 3330.3643, 3357.2354, ..., 3278.4553, 3249.1726,
        3229.266 ],
       ...,
       [3322.5789, 3325.956 , 3347.5586, ..., 3288.765 , 3271.7263,
        3250.9543],
       [3324.4585, 3335.9685, 3340.8032, ..., 3278.642 , 3285.0908,
        3285.617 ],
       [3309.2317, 3326.656 , 3342.2117, ..., 3296.1812, 3263.326 ,
        3235.6892]], dtype=float32), start_date=Period('2019-06-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3346.957 , 3337.0515, 3353.6584, ..., 3148.224 , 3089.1636,
        3037.34  ],
       [3342.4265, 3330.9275, 3349.2966, ..., 3190.021 , 3228.224 ,
        3261.5532],
       [3334.1316, 3328.1787, 3344.156 , ..., 3130.7798, 3162.9277,
        3210.0251],
       ...,
       [3341.3184, 3328.466 , 3351.6602, ..., 3259.8794, 3259.4036,
        3260.1255],
       [3340.1194, 3334.4824, 3345.5305, ..., 3216.4087, 3219.494 ,
        3202.8865],
       [3334.179 , 3308.1704, 3319.917 , ..., 2477.7676, 2577.6401,
        2509.7344]], dtype=float32), start_date=Period('2019-06-26 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3326.4849, 3322.9307, 3335.222 , ..., 3354.1133, 3338.6128,
        3340.0068],
       [3338.461 , 3338.7217, 3359.2612, ..., 3331.2524, 3328.0388,
        3319.6833],
       [3315.3252, 3330.3086, 3323.7354, ..., 3297.9192, 3255.031 ,
        3258.9873],
       ...,
       [3339.7686, 3330.64  , 3335.0327, ..., 3284.0083, 3246.3591,
        3223.764 ],
       [3330.1138, 3323.286 , 3329.3235, ..., 3344.3813, 3154.7878,
        2966.4663],
       [3279.7761, 3294.7222, 3322.3398, ..., 3277.2185, 3314.2585,
        3258.132 ]], dtype=float32), start_date=Period('2019-06-28 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3344.1006, 3341.367 , 3342.9644, ..., 3279.5293, 3276.2856,
        3303.14  ],
       [3344.0283, 3337.8281, 3337.475 , ..., 3339.2346, 3319.5696,
        3312.3926],
       [3357.4827, 3352.5234, 3365.9521, ..., 3466.1028, 3455.2715,
        3422.1765],
       ...,
       [3350.5654, 3345.828 , 3347.4683, ..., 3261.9849, 3273.6772,
        3267.9163],
       [3344.08  , 3334.0232, 3340.6372, ..., 3302.594 , 3315.7502,
        3309.5193],
       [3347.7056, 3338.307 , 3340.3142, ..., 3294.9097, 3316.5469,
        3301.0378]], dtype=float32), start_date=Period('2019-06-30 02:00', 'h'))]"
MSE[mean],125365.53333333334
MSE[0.5],132527.55
