metric,value
model,sundial
eval_data,data\datasets\ori\exchange_rate.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,medium
prediction_length,300
windows,16
MSE[mean],0.0059791958332061764
MSE[0.5],0.006090559164683024
MAE[0.5],0.059251893361409506
MASE[0.5],20.899352990868017
MAPE[0.5],0.08277172088623047
sMAPE[0.5],0.08752153396606445
MSIS,231.4554516187945
RMSE[mean],0.07732525999442987
NRMSE[mean],0.11044805288239057
ND[0.5],0.08463283863299186
mean_weighted_sum_quantile_loss,0.06983695424116225
